Question,Answers,Comment,Instructions,Render as
液,"えき,つゆ",liquid; fluid,Type the reading!,Image
騒る,わわる,to raise one's voice; to speak noisily; to yell,Type the reading!,Image
詩,"うた,し",modern poetry,Type the reading!,Image
古,"いにしえ,ふる",antiquity; ancient times; bygone days,Type the reading!,Image
見出す,"みいだす,みだす",to find out; to discover; to notice,Type the reading!,Image
怯む,ひるむ,to falter; to flinch (from); to recoil (from),Type the reading!,Image
心地いい,ここちいい,comfortable; pleasant,Type the reading!,Image
頑な,かたくな,obstinate; stubborn; mulish,Type the reading!,Image
一瞥,いちべつ,a glance; a look; a glimpse,Type the reading!,Image
言いにくい,いいにくい,hard to say; inexpressible; hesitant to say,Type the reading!,Image
直々,"じきじき,なおなお",in person; personally; directly,Type the reading!,Image
人混み,ひとごみ,crowd of people,Type the reading!,Image
功,"いたわり,いさお,こう",service; labor; labour,Type the reading!,Image
後々,"あとあと,のちのち",future; distant future,Type the reading!,Image
今宵,こよい,this evening; tonight,Type the reading!,Image
育む,はぐくむ,to raise; to bring up; to rear,Type the reading!,Image
各々,おのおの,each; you (plural),Type the reading!,Image
歪み,"ひずみ,ゆがみ,いがみ",strain; deformation; warp,Type the reading!,Image
擦れる,"かすれる,すれる,こすれる",to get blurred; to get hoarse; to get husky,Type the reading!,Image
突っ伏す,つっぷす,to fall prostrate,Type the reading!,Image
容易い,たやすい,easy; simple; light,Type the reading!,Image
承る,うけたまわる,to hear; to be told; to know,Type the reading!,Image
洋,"なだ,よう",open sea,Type the reading!,Image
騒々しい,そうぞうしい,noisy; loud; boisterous,Type the reading!,Image
混沌,こんとん,chaos; confusion; disorder,Type the reading!,Image
薄々,うすうす,thinly; slightly; vaguely,Type the reading!,Image
仲のいい,なかのいい,close (e.g. in terms of relationship); intimate,Type the reading!,Image
恍惚,こうこつ,ecstasy; rapture; trance,Type the reading!,Image
重々,じゅうじゅう,repeatedly; over and over again; fully (e.g. understand),Type the reading!,Image
電,"いなずま,いなづま",lightning; flash of lightning; lightning bolt,Type the reading!,Image
咆哮,ほうこう,roar; howl; yell,Type the reading!,Image
渋々,しぶしぶ,reluctantly; unwillingly,Type the reading!,Image
虜,"とりこ,りょ","captive; prisoner; victim (of love, etc.)",Type the reading!,Image
囮,"おとり,オトリ",live decoy (for hunting); decoy; bait,Type the reading!,Image
行かなくちゃ,いかなくちゃ,I've got to be going; I must go,Type the reading!,Image
嗚咽,おえつ,sobbing; weeping; fit of crying,Type the reading!,Image
幹,"みき,から",tree trunk; bole; backbone,Type the reading!,Image
無理強い,むりじい,forcing; compulsion; coercion,Type the reading!,Image
爺,"じじ,じじい,じい,ジジイ,ジジ",old man; old geezer,Type the reading!,Image
熱る,ほてる,to feel hot; to flush; to burn,Type the reading!,Image
続々,ぞくぞく,successively; one after another,Type the reading!,Image
著しい,"いちじるしい,いちぢるしい",striking; remarkable; considerable,Type the reading!,Image
長ける,たける,to excel at; to be proficient at; to grow old,Type the reading!,Image
手強い,"てごわい,てづよい",difficult; tough; formidable,Type the reading!,Image
虚ろ,うつろ,"hollow (voice, smile, etc.); blank (eyes, look, etc.); vacant (expression, stare, etc.)",Type the reading!,Image
勿論,もちろん,of course; certainly; naturally,Type the reading!,Image
長々,ながなが,for a long time; at (great) length; lengthily,Type the reading!,Image
頭を振る,かぶりをふる,to shake one's head (in denial),Type the reading!,Image
山々,やまやま,(many) mountains; very much (wanting to do something one cannot); greatly,Type the reading!,Image
一昨日,"おととい,おとつい,いっさくじつ",day before yesterday,Type the reading!,Image
７日,"なのか,なぬか",7th day of the month; seven days,Type the reading!,Image
萎える,なえる,"to lose strength; to become weak; to disappear (of energy, drive, etc.)",Type the reading!,Image
掟,おきて,law; regulation; rule,Type the reading!,Image
滴,"しずく,たらし,てき",drop (e.g. of water); drip,Type the reading!,Image
気兼ね,きがね,constraint; reserve; feeling hesitant,Type the reading!,Image
敬う,うやまう,to show respect for; to revere; to honour,Type the reading!,Image
言うて,"ゆうて,ゆーて",that said; that being said,Type the reading!,Image
踵を返す,"きびすをかえす,くびすをかえす",to turn on one's heel; to turn back; to return,Type the reading!,Image
苛む,さいなむ,to torment; to torture; to afflict,Type the reading!,Image
虚,"から,カラ,そら,うろ,うつお,うつほ,うつせ,きょ",sky; the air; the heavens,Type the reading!,Image
廃墟,はいきょ,"ruins (of a building, town, etc.); remains",Type the reading!,Image
京,"きょう,けい,みやこ","capital (esp. Kyoto, Japan's former capital); seat of government; capital (of music, fashion, etc.)",Type the reading!,Image
急遽,きゅうきょ,hurriedly; in a hurry; hastily,Type the reading!,Image
見惚れる,"みとれる,みほれる",to be fascinated (by); to be captivated by; to be enchanted by,Type the reading!,Image
巫女,"みこ,ふじょ,のろ",medium; sorceress; shamaness,Type the reading!,Image
踵,"かかと,きびす,くびす,あくと","heel (of foot, shoe, stocking, etc.)",Type the reading!,Image
合戦,かっせん,battle; fight; fighting,Type the reading!,Image
狭間,"はざま,はさま",interval; space; interstice,Type the reading!,Image
杞憂,きゆう,needless fear; groundless apprehension; unfounded worry,Type the reading!,Image
初々しい,ういういしい,(young and) innocent; naive; pure,Type the reading!,Image
蝕む,むしばむ,to be worm-eaten; to be eaten by worms; to affect adversely,Type the reading!,Image
刻,"きざ,こく,とき",time; hour; moment,Type the reading!,Image
妖しい,あやしい,mysterious; bewitching; alluring,Type the reading!,Image
狼狽,ろうばい,confusion; dismay; consternation,Type the reading!,Image
棘,"いばら,イバラ,おどろ,とげ,トゲ",thorn; spine; prickle,Type the reading!,Image
培う,つちかう,to cultivate; to foster,Type the reading!,Image
隠れ家,"かくれが,かくれや",hiding place; hideout; refuge,Type the reading!,Image
緒,"いとぐち,お,しょ,ちょ",beginning; start; first step,Type the reading!,Image
逡巡,しゅんじゅん,hesitation; indecision,Type the reading!,Image
端から,"はなから,ハナから,はしから,はたから",from the start; from the beginning; from the outset,Type the reading!,Image
淵,ふち,deep pool; deep water; abyss,Type the reading!,Image
