Question,Answers,Comment,Instructions,Render as
登山シーズン,とざんシーズン,climbing season; hiking season,Type the reading!,Image
和梨,わなし,Japanese pear (Pyrus pyrifolia); nashi pear,Type the reading!,Image
遺嘱,いしょく,dying wish (to be carried out after one's death),Type the reading!,Image
余剰牌,よじょうはい,"surplus tile; tile that has become unnecessary to the advancement of a hand, particularly at…",Type the reading!,Image
浅眠,せんみん,light sleep; poor sleep,Type the reading!,Image
米穀商,べいこくしょう,rice dealer; rice merchant,Type the reading!,Image
性搾取,せいさくしゅ,sexual exploitation,Type the reading!,Image
動的平衡,どうてきへいこう,dynamic equilibrium,Type the reading!,Image
黄壌,こうじょう,yellow soil; loess; Hades,Type the reading!,Image
色留袖,いろとめそで,"formal, pastel-colored kimono with designs along the bottom of the skirt worn b…; married woman's ceremonial kimono",Type the reading!,Image
木活字,"もっかつじ,もくかつじ",printing type made from wood,Type the reading!,Image
巨礫,きょれき,boulder,Type the reading!,Image
仏米,ふつべい,France and the United States; French-American; Franco-American,Type the reading!,Image
膠嚢,こうのう,(gelatin) capsule,Type the reading!,Image
帆走船,はんそうせん,sailing boat,Type the reading!,Image
真猿亜目,しんえんあもく,"Simiiformes (infraorder comprising the simians, i.e. higher primates)",Type the reading!,Image
大和三山,やまとさんざん,"Three Mountains of Yamato (Mt. Miminashi, Mt. Kagu, and Mt. Unebi)",Type the reading!,Image
自家醸造,じかじょうぞう,home-brewed,Type the reading!,Image
褐色人種,かっしょくじんしゅ,brown race; brown-skinned race,Type the reading!,Image
挽き割り,ひきわり,"sawing lengthwise (timber, lumber)",Type the reading!,Image
円寂,えんじゃく,nirvana; death of the Buddha,Type the reading!,Image
正精進,しょうしょうじん,correct effort,Type the reading!,Image
藪知らず,やぶしらず,labyrinth; maze,Type the reading!,Image
足るを知る者は富む,たるをしるものはとむ,"content is the philosopher's stone, that turns all it touches into gold",Type the reading!,Image
忘恩行為,ぼうおんこうい,act of ingratitude,Type the reading!,Image
呉牛月に喘ぐ,ごぎゅうつきにあえぐ,to be overanxious; to worry needlessly,Type the reading!,Image
神経膠,しんけいこう,neuroglia; glia,Type the reading!,Image
寒風摩擦,かんぷうまさつ,rubdown with a dry towel,Type the reading!,Image
矢状縫合,しじょうほうごう,sagittal suture,Type the reading!,Image
硫酸化,りゅうさんか,sulfation; sulphation,Type the reading!,Image
醸造アルコール,じょうぞうアルコール,distilled alcohol (esp. that used in some sakes and liqueurs); brewer's alcohol; jōzō alcohol,Type the reading!,Image
滑膜肉腫,かつまくにくしゅ,synovial sarcoma,Type the reading!,Image
