Question,Answers,Comment,Instructions,Render as
かくの如く,かくのごとく,thus; in this way; like this,Type the reading!,Image
笑いの渦,わらいのうず,clamor of laughter,Type the reading!,Image
意気盛ん,いきさかん,in high spirits,Type the reading!,Image
腹時計,はらどけい,one's internal clock,Type the reading!,Image
遺漏なく,いろうなく,complete; without omission,Type the reading!,Image
黒髭,くろひげ,black beard; noh mask with a black beard and protruding chin,Type the reading!,Image
需品,じゅひん,supplies; quartermaster,Type the reading!,Image
研磨剤,けんまざい,abrasive compound; abrading agent; abradant,Type the reading!,Image
御朱印,ごしゅいん,goshuin; seal stamp given to worshippers and visitors to shrines and temples; letter bearing the shogun's scarlet seal,Type the reading!,Image
固めの杯,かためのさかずき,"cup of sake used to drink to the establishment of a partnership, commitment to…; nuptial cup of sake",Type the reading!,Image
佐幕,さばく,adherence to the shogunate,Type the reading!,Image
渦まく,うずまく,to whirl; to eddy; to swirl,Type the reading!,Image
濃紫,こむらさき,dark purple,Type the reading!,Image
美容外科,びようげか,cosmetic surgery; aesthetic surgery,Type the reading!,Image
共済,きょうさい,mutual aid,Type the reading!,Image
朱に交われば赤くなる,しゅにまじわればあかくなる,"people will take on the characteristics of those who surround them; spend time with the wise and you will become wise, but the friends of fools wil…; when mixing with vermillion, one becomes red",Type the reading!,Image
正露丸,せいろがん,"seirogan; beechwood extract popular as a herbal treatment for diarrhoea (diarrhea), etc.",Type the reading!,Image
ほれ薬,ほれぐすり,love potion; philter; aphrodisiac,Type the reading!,Image
字引,じびき,dictionary,Type the reading!,Image
此の世,このよ,this world; this life; world of the living,Type the reading!,Image
襲名披露,しゅうめいひろう,announcing the succession to another's stage name,Type the reading!,Image
振付師,ふりつけし,choreographer,Type the reading!,Image
大日如来,だいにちにょらい,Vairocana; Mahavairocana (Bliss Body of the historical Gautama Buddha); Dainichi Buddha,Type the reading!,Image
胴長,どうなが,possessing a long torso,Type the reading!,Image
素人臭い,しろうとくさい,amateurish,Type the reading!,Image
卑怯千万,ひきょうせんばん,very mean (sneaky); extremely unsportsmanlike,Type the reading!,Image
淡紅色,たんこうしょく,pink; rose,Type the reading!,Image
搔き抱く,かきいだく,to hug; to clasp to one's breast,Type the reading!,Image
尚さら,なおさら,still more; even more; all the more,Type the reading!,Image
乳脂肪,にゅうしぼう,butterfat; milk fat,Type the reading!,Image
待ち合せる,まちあわせる,to rendezvous; to meet at a prearranged place and time; to arrange to meet,Type the reading!,Image
塊肉,かたまりにく,chunk of meat (e.g. for grilling); joint of meat,Type the reading!,Image
閣議決定,かくぎけってい,cabinet decision,Type the reading!,Image
急き込む,せきこむ,to get flustered; to get flurried; to get agitated,Type the reading!,Image
口を尖らす,くちをとがらす,to pout,Type the reading!,Image
紛失届,ふんしつとどけ,report of a lost article,Type the reading!,Image
九頭龍,くずりゅう,nine-headed dragon,Type the reading!,Image
縁起担ぎ,えんぎかつぎ,being superstitious; superstitious person,Type the reading!,Image
アクション俳優,アクションはいゆう,action movie actor; action star,Type the reading!,Image
一端を担う,いったんをになう,to be partly responsible for; to have a part in; to play a role in,Type the reading!,Image
官僚機構,かんりょうきこう,bureaucratic organization; bureaucracy,Type the reading!,Image
餌づけ,えづけ,artificial feeding (of wild animals); accustoming (a wild animal) to accepting food from humans,Type the reading!,Image
末期患者,まっきかんじゃ,terminally ill patient; terminal patient,Type the reading!,Image
引っ搔き回す,ひっかきまわす,to rummage through; to ransack (e.g. a drawer); to throw into confusion,Type the reading!,Image
遣唐使,けんとうし,envoy to Tang China,Type the reading!,Image
溶断,ようだん,fusion cutting (of metals); plasma cutting; blowout (of a fuse),Type the reading!,Image
内閣官房,ないかくかんぼう,Cabinet Secretariat,Type the reading!,Image
