Question,Answers,Comment,Instructions,Render as
明か,さやか,clear; fresh; bright,Type the reading!,Image
グルグル巻き,グルグルまき,rolling (something) up by spinning it around; coiling,Type the reading!,Image
偶々,たまたま,by chance; by accident; accidentally,Type the reading!,Image
助平,"スケベ,すけべ,すけべい,スケベイ",lewdness; lewd person; pervert,Type the reading!,Image
雌犬,"めすいぬ,めいぬ",bitch; female dog,Type the reading!,Image
側か,ほのか,faint; indistinct; dim,Type the reading!,Image
長閑,のどか,tranquil; calm; quiet,Type the reading!,Image
勲,"いさお,くん",distinguished service; meritorious service,Type the reading!,Image
気持ちよい,きもちよい,feeling good; feeling nice; feeling pleasant,Type the reading!,Image
堪え性,こらえしょう,endurance; perseverance; patience,Type the reading!,Image
恥かしい,はずかしい,embarrassing; embarrassed; ashamed,Type the reading!,Image
干支,"えと,かんし",12-year Chinese zodiac,Type the reading!,Image
雁字搦,がんじがらめ,"binding (someone) hand and foot; being tied down (by rules, obligations, etc.)",Type the reading!,Image
小太刀,こだち,short sword; small sword,Type the reading!,Image
綾子,りんず,figured satin,Type the reading!,Image
海馬,"せいうち,セイウチ,とど,トド,あしか,アシカ,かいば,うみうま",walrus (Odobenus rosmarus),Type the reading!,Image
装幀,そうてい,binding (of a book); design (of a book cover),Type the reading!,Image
纏,まとい,battle standard decorated with hanging strips of paper or leather; fireman's standard (Edo period),Type the reading!,Image
窟,"いわや,やぐら",cavern; grotto,Type the reading!,Image
信濃,しなの,Shinano (former province located in present-day Nagano Prefecture and parts of…,Type the reading!,Image
歴とした,"れっきとした,れきとした",accepted; fully-fledged; clear,Type the reading!,Image
秘か,ひそか,secret; private; surreptitious,Type the reading!,Image
翔ける,かける,to soar; to fly; to run,Type the reading!,Image
惜,"あたら,あったら",alas; regrettably; to my great regret,Type the reading!,Image
百足,"むかで,ひゃくそく,ムカデ",centipede,Type the reading!,Image
朕,ちん,We,Type the reading!,Image
希う,こいねがう,to beg; to request; to beseech,Type the reading!,Image
出てゆく,でてゆく,to go out and away; to leave,Type the reading!,Image
漣,"さざなみ,ささなみ",ripple (on water); wavelets; ripple (e.g. of uneasiness),Type the reading!,Image
舳先,へさき,bow (of a ship); prow,Type the reading!,Image
