Question,Answers,Comment,Instructions,Render as
浮子,うき,floating; buoyancy; fishing float,Type the reading!,Image
秋沙,"あいさ,あきさ,アイサ",merganser (any duck of genus Mergus),Type the reading!,Image
捩り,もじり,parody (of a famous work); pun,Type the reading!,Image
倩,"つらつら,せん",carefully; closely; attentively,Type the reading!,Image
兵粮,ひょうろう,(army) provisions; food,Type the reading!,Image
歇む,やむ,to cease; to stop; to be over,Type the reading!,Image
産れる,うまれる,to be born,Type the reading!,Image
凝視める,みつめる,to stare (at); to gaze (at); to look hard (at),Type the reading!,Image
梛,"なぎ,ナギ","nagi (species of conifer, Nageia nagi)",Type the reading!,Image
剰え,"あまつさえ,あまっさえ",besides; moreover; in addition,Type the reading!,Image
啓蟄,けいちつ,"""awakening of insects"" solar term (approx. March 6, the day on which hibernatin…",Type the reading!,Image
食用ガエル,しょくようガエル,bullfrog,Type the reading!,Image
雑駁,ざっぱく,confused; inconsistent; incoherent,Type the reading!,Image
吉左右,"きっそう,きっさう",good news; favourable information; news on whether or not something went well,Type the reading!,Image
顔容,"かおかたち,がんよう",features; looks,Type the reading!,Image
シワ取り,"シワとり,シワトリ",wrinkle reduction; rhytidoplasty,Type the reading!,Image
綜,あぜ,warp controller (on a loom),Type the reading!,Image
テレピン油,テレピンゆ,turpentine oil,Type the reading!,Image
醪,"もろみ,もそろ","main fermenting mash (in production of sake or soy sauce); unrefined sake or soy sauce; unrefined (sake, soy sauce, etc.)",Type the reading!,Image
稚子,"みずこ,みずご,ちし",aborted fetus (foetus); miscarried fetus; stillborn fetus,Type the reading!,Image
尨大,ぼうだい,huge; vast; enormous,Type the reading!,Image
お母さん子,おかあさんこ,mother's boy; mother's girl,Type the reading!,Image
がらの悪い,がらのわるい,ill-bred; vulgar; boorish,Type the reading!,Image
荏苒,じんぜん,procrastinatingly; dillydallying,Type the reading!,Image
今日いち,きょういち,today's best,Type the reading!,Image
続ぐ,"つぐ,ツぐ","to succeed (a person, to a position, etc.); to inherit; to take over",Type the reading!,Image
自家焙煎,じかばいせん,in-house roasting (of coffee beans); shop roasting; home roasting,Type the reading!,Image
鋏む,はさむ,to clip; to snip,Type the reading!,Image
ウラ話,ウラばなし,inside story; the real story (behind something); story not generally known,Type the reading!,Image
栖家,すみか,dwelling; house; home,Type the reading!,Image
践む,ふむ,to step on; to tread on; to trample on,Type the reading!,Image
