Question,Answers,Comment,Instructions,Render as
散らばる,ちらばる,to be scattered about; to disperse; to be littered (with),Type the reading!,Image
細める,ほそめる,to make narrow,Type the reading!,Image
近頃,ちかごろ,lately; recently; nowadays,Type the reading!,Image
存在感,そんざいかん,(sense of) presence,Type the reading!,Image
奪い取る,うばいとる,to plunder; to grab; to snatch,Type the reading!,Image
育ち,そだち,"growth; breeding; growing up (in, as)",Type the reading!,Image
疑惑,ぎわく,doubt; misgivings; distrust,Type the reading!,Image
回答,かいとう,reply; answer,Type the reading!,Image
揺らぐ,ゆらぐ,to swing; to sway; to shake,Type the reading!,Image
地区,ちく,district; area; zone,Type the reading!,Image
触れ合う,ふれあう,to come into contact with; to touch (each other); to have a brush with,Type the reading!,Image
快適,かいてき,pleasant; agreeable; comfortable,Type the reading!,Image
重ねて,かさねて,once more; repeatedly,Type the reading!,Image
戦略,せんりゃく,strategy; tactics,Type the reading!,Image
要領,ようりょう,point; gist; essentials,Type the reading!,Image
小柄,"こがら,こづか,しょうへい",small build; small stature; petite,Type the reading!,Image
容疑者,ようぎしゃ,suspect,Type the reading!,Image
反発,はんぱつ,opposition; rebellion; revolt,Type the reading!,Image
恋人同士,こいびとどうし,pair of lovers; girlfriend and boyfriend,Type the reading!,Image
提示,ていじ,"presentation (of a passport, ID, etc.); showing; production (e.g. of documents)",Type the reading!,Image
致命的,ちめいてき,fatal; lethal,Type the reading!,Image
途端に,とたんに,just as; right after; in the act of,Type the reading!,Image
敬意,けいい,respect; honour; honor,Type the reading!,Image
体中,からだじゅう,all over the body; from head to foot; all over,Type the reading!,Image
適切,てきせつ,appropriate; suitable; fitting,Type the reading!,Image
域,いき,region; limits; stage,Type the reading!,Image
初恋,はつこい,first love; puppy love,Type the reading!,Image
気分転換,きぶんてんかん,change of pace; change of mood; (mental) break (e.g. going for a walk),Type the reading!,Image
史,"し,ふひと,ふびと,ふみひと",history,Type the reading!,Image
崩れ落ちる,くずれおちる,to crumble down; to tumble down; to fall in,Type the reading!,Image
内臓,ないぞう,internal organs; viscera,Type the reading!,Image
数百,すうひゃく,several hundred; hundreds (of),Type the reading!,Image
埋もれる,"うもれる,うずもれる,うづもれる",to be buried; to be covered; to be hidden,Type the reading!,Image
中国,"ちゅうごく,ちゅうこく","China; Chūgoku region (western part of Honshu comprising the prefectures of Okayama, H…; central part of a country",Type the reading!,Image
我らが,われらが,our,Type the reading!,Image
称する,しょうする,to call; to name; to call oneself ...,Type the reading!,Image
日記,にっき,diary; journal,Type the reading!,Image
足跡,"あしあと,そくせき",footprints; record of page visitors (e.g. in social networking sites),Type the reading!,Image
聖,"せい,ひじり",Saint; St.; S.,Type the reading!,Image
数秒,すうびょう,a few seconds; several seconds,Type the reading!,Image
編,へん,compilation (of a text); editing; volume (of a text),Type the reading!,Image
連携,れんけい,cooperation; coordination; collaboration,Type the reading!,Image
寝坊,ねぼう,sleeping in late; oversleeping; late riser,Type the reading!,Image
追求,ついきゅう,"pursuit (of a goal, ideal, etc.); search; chase",Type the reading!,Image
寝不足,ねぶそく,lack of sleep; insufficient sleep,Type the reading!,Image
鼻歌,はなうた,humming; crooning,Type the reading!,Image
