Question,Answers,Comment,Instructions,Render as
胡椒入れ,こしょういれ,pepper shaker,Type the reading!,Image
日清戦役,にっしんせんえき,First Sino-Japanese war (1894-1895),Type the reading!,Image
屠殺人,とさつにん,butcher; slaughterhouse worker,Type the reading!,Image
マタイ福音書,マタイふくいんしょ,Gospel of Matthew (book of the Bible),Type the reading!,Image
終のすみか,ついのすみか,one's final abode,Type the reading!,Image
阿婆擦れ女,あばずれおんな,coquette; flirt; vamp,Type the reading!,Image
箸置,はしおき,chopstick rest,Type the reading!,Image
バッチ来い,"ばっちこい,バッチコイ,バッチコーイ",I'm ready!; bring it on!,Type the reading!,Image
瓦石,がせき,worthless thing; garbage; roof tile and stone,Type the reading!,Image
発癌性,はつがんせい,carcinogenicity; cancer-causing quality,Type the reading!,Image
目を掠める,めをかすめる,to do in secret,Type the reading!,Image
飯碗,めしわん,bowl used for serving rice,Type the reading!,Image
乳飲み児,ちのみご,suckling child; babe in arms; child at the breast,Type the reading!,Image
刷り直す,すりなおす,to reprint (book),Type the reading!,Image
嗜眠,しみん,deep sleep; torpor,Type the reading!,Image
着映え,きばえ,(clothes which) look good on a person,Type the reading!,Image
畳床,"たたみとこ,たたみどこ",inner part of a tatami mat; tokonoma with tatami flooring,Type the reading!,Image
もたれ掛る,もたれかかる,"to lean (on, against); to rest (against); to recline",Type the reading!,Image
帰阪,きはん,returning to Osaka; coming back (home) to Osaka,Type the reading!,Image
鶏口,けいこう,mouth of a chicken; leader of a small group,Type the reading!,Image
残菊,ざんぎく,late chrysanthemums,Type the reading!,Image
スティック糊,スティックのり,glue stick,Type the reading!,Image
茎葉,けいよう,stems and leaves,Type the reading!,Image
遣り甲斐のある,やりがいのある,worth doing; worthwhile; rewarding,Type the reading!,Image
崖の上のポニョ,がけのうえのポニョ,Ponyo (2008 animated film),Type the reading!,Image
喝をいれる,かつをいれる,"to apply the art of resuscitation (in judo, etc.); to breathe life into; to stimulate",Type the reading!,Image
殻剥き,からむき,"shelling (e.g. of eggs, nuts, crabs and such)",Type the reading!,Image
吹替版,ふきかえばん,"dubbed version (of a film, etc.)",Type the reading!,Image
柳に雪折れなし,やなぎにゆきおれなし,the soft may prove more durable than the hard; willow trees don't break under the weight of snow,Type the reading!,Image
天然果汁,てんねんかじゅう,natural fruit juice,Type the reading!,Image
猫にかつお節,ねこにかつおぶし,temptation one can't resist; setting a wolf to mind the sheep; trusting a cat with milk,Type the reading!,Image
忍び刀,しのびがたな,ninja sword,Type the reading!,Image
粉石鹸,こなせっけん,soap powder,Type the reading!,Image
元の鞘に納まる,もとのさやにおさまる,to bury the hatchet; to make up; to be reconciled,Type the reading!,Image
寂滅為楽,じゃくめついらく,freedom from one's desires (entry into Nirvana) is true bliss,Type the reading!,Image
渡し箸,わたしばし,resting one's chopsticks across the top of one's bowl (a breach of etiquette),Type the reading!,Image
とらぬ狸の皮算用,とらぬたぬきのかわざんよう,counting one's chickens before they're hatched; counting raccoon dog skins before they have been caught,Type the reading!,Image
深鉢,ふかばち,deep (clay) pot,Type the reading!,Image
賃金カット,ちんぎんカット,wage cut,Type the reading!,Image
無縁塚,むえんづか,tomb of someone with no relatives to mourn their death,Type the reading!,Image
郡役所,ぐんやくしょ,county offices,Type the reading!,Image
晴夜,せいや,clear night,Type the reading!,Image
借り住まい,かりずまい,living in rented quarters; rented house,Type the reading!,Image
霞を食う,かすみをくう,to live on air; to live on nothing; to live without a means of income,Type the reading!,Image
片言隻語,へんげんせきご,(not even) a few words,Type the reading!,Image
尖頭器,せんとうき,projectile point; point,Type the reading!,Image
学びの園,まなびのその,educational institution; school,Type the reading!,Image
金剛砂,こんごうしゃ,emery (powder),Type the reading!,Image
訴訟法,そしょうほう,procedural law (as opposed to substantive law),Type the reading!,Image
雌雄鑑別,しゆうかんべつ,"sexing (of chickens, silkworms, etc.)",Type the reading!,Image
能装束,のうしょうぞく,noh costume,Type the reading!,Image
矯正視力,きょうせいしりょく,corrected eyesight,Type the reading!,Image
莫連,ばくれん,worldly woman,Type the reading!,Image
暦学,れきがく,study of the calendar,Type the reading!,Image
穀粉,こくふん,(grain) flour,Type the reading!,Image
年報,ねんぽう,annual report; yearbook,Type the reading!,Image
津津,しんしん,gushing; overflowing; everlasting,Type the reading!,Image
書付ける,かきつける,to write down,Type the reading!,Image
物書,ものかき,writer; author,Type the reading!,Image
関銭,せきせん,toll; transit fee,Type the reading!,Image
折中,せっちゅう,compromise; cross; blending,Type the reading!,Image
依りどころ,よりどころ,grounds; foundation; authority,Type the reading!,Image
