Question,Answers,Comment,Instructions,Render as
危機一髪,ききいっぱつ,by a hair's breadth; in the nick of time; touch and go,Type the reading!,Image
没落,ぼつらく,ruin; fall; collapse,Type the reading!,Image
命を絶つ,いのちをたつ,to end one's life; to commit suicide; to end a life,Type the reading!,Image
応え,"こたえ,ごたえ,いらえ",answer; reply; response,Type the reading!,Image
恥を知れ,はじをしれ,for shame!; shame on you!; shame!,Type the reading!,Image
溢れだす,あふれだす,to begin to overflow; to start overflowing; to pour out,Type the reading!,Image
種明かし,たねあかし,"reveal of how a trick is done; disclosure of a secret (cause, source, etc.); exposure",Type the reading!,Image
密輸,みつゆ,smuggling; contraband trade,Type the reading!,Image
暴漢,ぼうかん,hoodlum; ruffian,Type the reading!,Image
凶行,きょうこう,(act of) violence; vicious crime; murder,Type the reading!,Image
効き,きき,effectiveness; efficacy; efficaciousness,Type the reading!,Image
ぐうの音も出ない,ぐうのねもでない,being lost for words,Type the reading!,Image
桜の木,さくらのき,cherry tree,Type the reading!,Image
白ける,しらける,"to be dampened (of the mood, interest, etc.); to be spoiled (e.g. of the atmosphere); to become subdued",Type the reading!,Image
秒針,びょうしん,second hand (of clock),Type the reading!,Image
模範,もはん,exemplar; model; example,Type the reading!,Image
巨漢,きょかん,giant,Type the reading!,Image
がら空き,"がらあき,がらすき",inadequately defended; undefended; unguarded,Type the reading!,Image
株価,かぶか,stock prices,Type the reading!,Image
青森,あおもり,"Aomori (city, prefecture)",Type the reading!,Image
許容範囲,きょようはんい,tolerance level; permissible range; acceptable limits,Type the reading!,Image
至れり尽くせり,いたれりつくせり,perfect; complete; thorough,Type the reading!,Image
寒空,さむぞら,wintry sky; cold weather (in winter); wintry weather,Type the reading!,Image
囲い,かこい,enclosure; fence; wall,Type the reading!,Image
清浄,"せいじょう,しょうじょう",pure; clean; purity,Type the reading!,Image
ガラス越し,ガラスごし,through glass,Type the reading!,Image
写し,うつし,copy; duplicate; facsimile,Type the reading!,Image
脚色,きゃくしょく,dramatization (e.g. of a novel); dramatisation; adaptation (for the stage or screen),Type the reading!,Image
遅延,ちえん,delay; latency,Type the reading!,Image
黒煙,"こくえん,くろけむり",black smoke,Type the reading!,Image
芋虫,"いもむし,イモムシ",hornworm (caterpillar of a hawk moth); (hairless) caterpillar,Type the reading!,Image
貼り付く,はりつく,to stick (to); to cling (to); to adhere (to),Type the reading!,Image
