Question,Answers,Comment,Instructions,Render as
気,"き,げ,ぎ,け",spirit; mind; heart,Type the reading!,Image
話,"はなし,わ",talk; speech; chat,Type the reading!,Image
中,"なか,うち,ちゅう,じゅう,ぢゅう,チュン",inside; interior; among,Type the reading!,Image
入る,"いる,はいる",to enter; to come in; to go in,Type the reading!,Image
今日,"きょう,こんにち,こんち,こんじつ",today; this day,Type the reading!,Image
持つ,もつ,to hold (in one's hand); to take; to carry,Type the reading!,Image
手,て,hand; arm; forepaw,Type the reading!,Image
前,"さき,ぜん,まえ",point; tip; end,Type the reading!,Image
大丈夫,"だいじょうぶ,だいじょぶ,だいじょうふ",great man; fine figure of a man,Type the reading!,Image
お前,"おまえ,おまい","before (a god, nobleman, etc.); in front of",Type the reading!,Image
考える,かんがえる,"to think (about, of); to think over; to ponder",Type the reading!,Image
何か,"なにか,なんか",(so) what (are you trying to say)?; what (do you mean)?,Type the reading!,Image
目,"め,もく",eye; eyeball; eyesight,Type the reading!,Image
違う,"ちがう,たがう",to differ (from); to be different; to be distinct,Type the reading!,Image
顔,"かお,がん,かんばせ",honor; honour; face,Type the reading!,Image
悪い,"わるい,にくい,ニクい",bad; poor; undesirable,Type the reading!,Image
早い,"はやい,はえー,はっやい,はっやーい,はやーい",early; soon; earlier than usual,Type the reading!,Image
帰る,かえる,to return; to come home; to go home,Type the reading!,Image
出す,だす,to take out; to get out; to put out,Type the reading!,Image
誰,"だれ,だあれ,だーれ",who,Type the reading!,Image
一緒に,いっしょに,together (with); at the same time; in one lump,Type the reading!,Image
同じ,"おなじ,おんなじ,おんなし",same; identical; equal,Type the reading!,Image
使う,つかう,"to use (a tool, method, etc.); to make use of; to put to use",Type the reading!,Image
好き,"すき,ずき",liking; being fond of; to one's liking,Type the reading!,Image
見える,"みえる,まみえる",to be seen; to be visible; to be in sight,Type the reading!,Image
前に,まえに,ahead; before; ago,Type the reading!,Image
会う,あう,to meet; to encounter; to see,Type the reading!,Image
年,"とし,ねん,とせ","year; counter for years (e.g. of an era), grades (e.g. school); period of an apprentice's contract (usu. ten years)",Type the reading!,Image
時間,じかん,time; hour; period,Type the reading!,Image
男,"おとこ,おっこ,おのこ,お,なん,だん",man; male; fellow,Type the reading!,Image
戻る,"もどる,もとる",to turn back (e.g. half-way); to return; to go back,Type the reading!,Image
声,"こえ,しょう",voice; singing (of a bird); chirping (of an insect),Type the reading!,Image
本当に,"ほんとうに,ほんとに,ホントに,ホントーに,ホントウに",really; truly,Type the reading!,Image
作る,つくる,to make; to produce; to manufacture,Type the reading!,Image
入れる,いれる,to put in; to let in; to take in,Type the reading!,Image
話す,はなす,to talk; to speak; to converse,Type the reading!,Image
僕,"しもべ,ぼく,ボク,やつがれ,やつこらま",I; me; you,Type the reading!,Image
人間,"にんげん,じんかん",human being; human; person,Type the reading!,Image
死ぬ,"しぬ,ﾀﾋぬ",to die; to pass away; to lose spirit,Type the reading!,Image
上,"うえ,うわ,かみ,じょう",above; over; up,Type the reading!,Image
方,"かた,ほう,さま,がた,へ",direction; way; side,Type the reading!,Image
少し,すこし,a little; a bit; a small amount,Type the reading!,Image
日,"ひ,にち,か,んち,ち",day; days; sun,Type the reading!,Image
次,"つぎ,じ",next; following; subsequent,Type the reading!,Image
食べる,たべる,to eat; to live on (e.g. a salary); to live off,Type the reading!,Image
呼ぶ,よぶ,to call out (to); to call; to invoke,Type the reading!,Image
忘れる,わすれる,to forget; to leave carelessly; to be forgetful of,Type the reading!,Image
終わる,おわる,to end; to come to an end; to finish,Type the reading!,Image
子,"こ,ね,み,し,す,こう",child; kid; teenager,Type the reading!,Image
一,"いち,ひとつ,イー,いっち,ひと,ひ,ひい,いつ",one; 1; best,Type the reading!,Image
取る,とる,to take; to pick up; to grab,Type the reading!,Image
仕事,しごと,work; job; labor,Type the reading!,Image
気持ち,きもち,feeling; sensation; mood,Type the reading!,Image
今度,こんど,this time; now; next time,Type the reading!,Image
相手,あいて,companion; partner; company,Type the reading!,Image
頼む,たのむ,to request; to beg; to ask,Type the reading!,Image
本当,"ほんとう,ほんと,ホントー,ホント,ホントウ",truth; reality; actuality,Type the reading!,Image
時,"とき,じ,どき",occasion; case; chance,Type the reading!,Image
見せる,みせる,to show; to display; to make (something or someone) look ...,Type the reading!,Image
生きる,いきる,to live; to exist; to make a living,Type the reading!,Image
全部,ぜんぶ,all; entire; whole,Type the reading!,Image
女,"おんな,じょ,め,おみな",woman; female; female lover,Type the reading!,Image
誰か,だれか,someone; somebody,Type the reading!,Image
分かる,わかる,to understand; to comprehend; to grasp,Type the reading!,Image
後,"あと,のち,うしろ,しり,ご,しりえ",behind; rear; after,Type the reading!,Image
頭,"とう,あたま,かしら,がしら,どたま,ドタマ,かぶし,こうべ,ず,かぶり,つむり,つむ",mind; brains; intellect,Type the reading!,Image
絶対,ぜったい,absolutely; definitely; unconditionally,Type the reading!,Image
君,"きみ,キミ,くん,ぎみ,きんじ",Mr; master; boy,Type the reading!,Image
最後,さいご,end; conclusion; last,Type the reading!,Image
