Question,Answers,Comment,Instructions,Render as
激しい,はげしい,violent; furious; tempestuous,Type the reading!,Image
雰囲気,"ふんいき,ふいんき",atmosphere; mood; ambience,Type the reading!,Image
完璧,かんぺき,perfect; complete; flawless,Type the reading!,Image
今年,"ことし,こんねん",this year,Type the reading!,Image
再び,ふたたび,again; once more; a second time,Type the reading!,Image
早速,さっそく,at once; immediately; without delay,Type the reading!,Image
空く,"すく,あく",to become less crowded; to thin out; to get empty,Type the reading!,Image
日々,"ひび,にちにち",daily; everyday; days (e.g. of one's youth),Type the reading!,Image
一切,いっさい,all; everything; entirety,Type the reading!,Image
明らか,あきらか,clear; obvious; evident,Type the reading!,Image
辞める,やめる,to resign; to retire; to quit,Type the reading!,Image
人々,"ひとびと,にんにん",people; men and women; each person,Type the reading!,Image
唯一,"ゆいいつ,ゆいつ,ゆういつ",only; sole; unique,Type the reading!,Image
謎,なぞ,riddle; puzzle; enigma,Type the reading!,Image
扉,とびら,door; gate; opening,Type the reading!,Image
降る,"くだる,ふる",to descend; to go down; to come down,Type the reading!,Image
怒り,いかり,anger; rage; fury,Type the reading!,Image
今朝,"けさ,こんちょう",this morning,Type the reading!,Image
妻,"つま,め,さい,そばめ",wife,Type the reading!,Image
鳴る,なる,to sound; to ring; to resound,Type the reading!,Image
冷静,れいせい,calmness; composure; coolness,Type the reading!,Image
少なくとも,すくなくとも,at least,Type the reading!,Image
奴,"やっこ,やつ,ヤツ,め,やつこ,つぶね,やつこらま",fellow; guy; chap,Type the reading!,Image
地獄,じごく,hell realm; Naraka; Hell,Type the reading!,Image
弟,"おとうと,てい,おとと,おと",brother-in-law (spouse's younger brother or younger sister's husband),Type the reading!,Image
将来,しょうらい,"future; (future) prospects; bringing (from abroad, another region, etc.)",Type the reading!,Image
参る,まいる,to go; to come; to call,Type the reading!,Image
ご飯,ごはん,cooked rice; meal,Type the reading!,Image
量,"りょう,はか",quantity; amount; volume,Type the reading!,Image
預かる,あずかる,to look after; to take care of; to keep,Type the reading!,Image
犯人,はんにん,offender; criminal; culprit,Type the reading!,Image
永遠,"えいえん,とわ",eternity; perpetuity; permanence,Type the reading!,Image
刺す,さす,to pierce; to stab; to prick,Type the reading!,Image
情けない,"なさけない,なっさけない",miserable; pitiable; shameful,Type the reading!,Image
