Question,Answers,Comment,Instructions,Render as
道を譲る,みちをゆずる,to yield; to give way to; to make way for,Type the reading!,Image
身体を重ねる,からだをかさねる,to have sex; to have a physical relationship,Type the reading!,Image
定型,ていけい,fixed form; regular shape; standard-size mail,Type the reading!,Image
美男,"びなん,びだん",handsome man,Type the reading!,Image
後宮,こうきゅう,inner palace (reserved for women); harem; seraglio,Type the reading!,Image
招き猫,まねきねこ,beckoning cat; figure of a cat with one paw raised (usu. white porcelain),Type the reading!,Image
月下,げっか,in the moonlight,Type the reading!,Image
やけ酒,やけざけ,drowning one's cares in drink; drinking in desperation,Type the reading!,Image
人智,じんち,human intellect; knowledge,Type the reading!,Image
ケーキ作り,ケーキづくり,cake making,Type the reading!,Image
天寿,てんじゅ,natural span of life,Type the reading!,Image
ひん剥く,ひんむく,to peel (roughly); to tear off; to rip off,Type the reading!,Image
幅の広い,はばのひろい,wide; broad,Type the reading!,Image
従姉,"じゅうし,いとこ",cousin (older female),Type the reading!,Image
穏当,おんとう,proper; reasonable; right,Type the reading!,Image
焼香,しょうこう,burning (offer) incense,Type the reading!,Image
極秘事項,ごくひじこう,closely-guarded secret; top secret,Type the reading!,Image
呪術師,じゅじゅつし,witch doctor; shaman,Type the reading!,Image
義賊,ぎぞく,chivalrous thief,Type the reading!,Image
人離れ,ひとばなれ,"decline in attendance (shopping district, workplace, etc.); differing from a typical person; atypical person",Type the reading!,Image
お目付役,おめつけやく,watchdog; chaperone; watcher,Type the reading!,Image
運賃,うんちん,(passenger) fare; freight rates; shipping expenses,Type the reading!,Image
着信拒否,ちゃくしんきょひ,blocking communications (from a phone number or an e-mail address),Type the reading!,Image
昔馴染み,むかしなじみ,old friend; familiar face,Type the reading!,Image
訴え出る,うったえでる,to lodge a complaint,Type the reading!,Image
滞空,たいくう,staying in the air; remaining airborne,Type the reading!,Image
結婚詐欺,けっこんさぎ,marriage fraud; fake marriage,Type the reading!,Image
隣接した,りんせつした,adjoining; neighboring; neighbouring,Type the reading!,Image
心が狭い,こころがせまい,narrow-minded,Type the reading!,Image
搔き消す,かきけす,to erase; to drown out (e.g. a voice); to make disappear,Type the reading!,Image
頭脳労働,ずのうろうどう,brain work; mental work; nonmanual labor,Type the reading!,Image
世話焼,せわやき,helpful person; person who likes looking after others; overly helpful person,Type the reading!,Image
斬り倒す,きりたおす,to cut down; to chop down; to fell,Type the reading!,Image
飲酒運転,いんしゅうんてん,drunk driving; drink-driving; driving while intoxicated,Type the reading!,Image
人智を超えた,じんちをこえた,beyond human understanding,Type the reading!,Image
黒星,くろぼし,black spot; black dot; bull's-eye,Type the reading!,Image
堂々巡り,どうどうめぐり,going around in circles; circling a temple; roll-call vote,Type the reading!,Image
載,さい,10^44; hundred tredecillion,Type the reading!,Image
塩素,えんそ,chlorine (Cl),Type the reading!,Image
蒸し暑さ,むしあつさ,heat and humidity; humid heat,Type the reading!,Image
木っ端,こっぱ,wood chip; splinter; worthless thing,Type the reading!,Image
全盛,ぜんせい,height of prosperity,Type the reading!,Image
召し使い,めしつかい,servant; menial,Type the reading!,Image
出世払い,しゅっせばらい,repaying a debt after achieving success; promise to repay a debt after achieving success,Type the reading!,Image
孤軍奮闘,こぐんふんとう,fighting alone,Type the reading!,Image
密着取材,みっちゃくしゅざい,"close coverage (of an event, celebrity, etc.); close reporting; total coverage",Type the reading!,Image
香炉,こうろ,censer; incense burner,Type the reading!,Image
慰み者,なぐさみもの,(person treated as a) plaything,Type the reading!,Image
酔い覚まし,よいざまし,sobering up; method of sobering up,Type the reading!,Image
元夫,もとおっと,ex-husband; former husband,Type the reading!,Image
袖の下,そでのした,bribe; money under the table,Type the reading!,Image
食物連鎖,しょくもつれんさ,food chain,Type the reading!,Image
菓子店,かしてん,confectioner; confectionery; candy store,Type the reading!,Image
立て札,たてふだ,"sign on a post (usu. wooden and with a small roof, containing information about…; public notice; bulletin board",Type the reading!,Image
廃棄処分,はいきしょぶん,disposal; scrapping; replacement,Type the reading!,Image
兵役,へいえき,military service; conscription,Type the reading!,Image
恋焦がれる,こいこがれる,to yearn (for); to pine (for); to long (for),Type the reading!,Image
万里,ばんり,thousands of miles,Type the reading!,Image
やけ食い,やけぐい,binge eating; stress eating,Type the reading!,Image
従兄,"じゅうけい,いとこ",cousin (older male),Type the reading!,Image
横断幕,おうだんまく,horizontal banner,Type the reading!,Image
綺麗好き,きれいずき,love of cleanliness; liking to keep things clean; tidiness (of people),Type the reading!,Image
隔,かく,every other; second; alternate,Type the reading!,Image
胃もたれ,いもたれ,(feeling of) indigestion; upset stomach,Type the reading!,Image
躍らせる,おどらせる,to throw (oneself); to hurl; to cast,Type the reading!,Image
聴き入る,ききいる,to listen attentively to; to be absorbed in (listening to),Type the reading!,Image
警察犬,けいさつけん,police dog; K9,Type the reading!,Image
投稿者,とうこうしゃ,contributor; poster; submitter,Type the reading!,Image
軟体動物,なんたいどうぶつ,mollusc; mollusk,Type the reading!,Image
甘いもの好き,あまいものずき,sweet tooth; love of sweet things,Type the reading!,Image
共振,きょうしん,resonance; sympathetic vibration,Type the reading!,Image
公式発表,こうしきはっぴょう,official announcement,Type the reading!,Image
完済,かんさい,full payment; liquidation,Type the reading!,Image
死後硬直,しごこうちょく,rigor mortis,Type the reading!,Image
