Question,Answers,Comment,Instructions,Render as
惚れっぽい,ほれっぽい,soon to fall in love,Type the reading!,Image
一途を辿る,いっとをたどる,to continue; to keep going; to go along (e.g. with some trend),Type the reading!,Image
二皿,ふたさら,two plates; two helpings; two servings,Type the reading!,Image
新聞に載る,しんぶんにのる,to appear in the newspaper,Type the reading!,Image
軽業師,かるわざし,acrobat,Type the reading!,Image
白亜紀,はくあき,Cretaceous period,Type the reading!,Image
密猟,みつりょう,poaching,Type the reading!,Image
相性占い,あいしょううらない,compatibility horoscope (esp. for love); compatibility reading,Type the reading!,Image
総督府,そうとくふ,government-general,Type the reading!,Image
鉱床,こうしょう,mineral deposit; ore deposit,Type the reading!,Image
塩田,"えんでん,しおた,しおだ",saltpan; field for drying salt,Type the reading!,Image
天然温泉,てんねんおんせん,natural hot spring,Type the reading!,Image
お腹が減る,おなかがへる,to become hungry,Type the reading!,Image
洗い清める,あらいきよめる,to wash clean; to cleanse,Type the reading!,Image
大風呂敷,おおぶろしき,large furoshiki; big talk; vain boasting or bluster,Type the reading!,Image
めし時,めしどき,mealtime,Type the reading!,Image
槍を振るう,やりをふるう,to wield a spear,Type the reading!,Image
呆れ果てる,あきれはてる,to be flabbergasted; to be dumbfounded,Type the reading!,Image
特急列車,とっきゅうれっしゃ,limited express train,Type the reading!,Image
鉄扇,てっせん,iron-ribbed fan,Type the reading!,Image
ムダ使い,むだづかい,"waste (of money, time, etc.); squandering; frittering away",Type the reading!,Image
身柄を拘束する,みがらをこうそくする,to detain; to take into custody,Type the reading!,Image
痩せ型,やせがた,slender build; slender figure; leptosome,Type the reading!,Image
宝飾,ほうしょく,jewels and ornaments; jewelry; jewellery,Type the reading!,Image
福井県,ふくいけん,Fukui Prefecture (Hokuriku area),Type the reading!,Image
大気汚染,たいきおせん,air pollution,Type the reading!,Image
登録済み,とうろくずみ,registered,Type the reading!,Image
横槍を入れる,よこやりをいれる,to interrupt; to butt in,Type the reading!,Image
ムダ死に,むだじに,dying in vain; useless death; meaningless death,Type the reading!,Image
走り幅跳び,はしりはばとび,long jump,Type the reading!,Image
活況,かっきょう,activity; briskness; prosperity,Type the reading!,Image
長広舌,ちょうこうぜつ,long talk; long-winded speech,Type the reading!,Image
重症患者,じゅうしょうかんじゃ,patient with a serious illness; patient with a severe condition; critically ill patient,Type the reading!,Image
偏在,へんざい,uneven distribution; unfair distribution; maldistribution,Type the reading!,Image
的はずれ,まとはずれ,off the mark; off base; misdirected,Type the reading!,Image
肺がん,はいがん,lung cancer,Type the reading!,Image
耐震,たいしん,resistant to earthquakes,Type the reading!,Image
攻め上る,せめのぼる,to march on the capital,Type the reading!,Image
奉ずる,ほうずる,to present; to dedicate; to obey,Type the reading!,Image
止めとき,やめとき,(please) don't; you had better not; quit it,Type the reading!,Image
頓珍漢,"とんちんかん,トンチンカン",absurdity; contradiction; incoherence,Type the reading!,Image
お腹を壊す,おなかをこわす,to get an upset stomach; to have diarrhea,Type the reading!,Image
防疫,ぼうえき,"communicable disease control (e.g. by quarantine, disinfection, etc.); prevention of epidemics",Type the reading!,Image
創刊号,そうかんごう,first issue,Type the reading!,Image
投げ槍,なげやり,javelin; lance,Type the reading!,Image
生殖機能,せいしょくきのう,reproductive function,Type the reading!,Image
棚引く,たなびく,"to trail (of smoke, clouds, etc.); to hang (of mist, haze, etc.); to lie (over)",Type the reading!,Image
浪費家,ろうひか,wasteful person; spendthrift,Type the reading!,Image
飛龍,"ひりゅう,ひりょう",flying dragon,Type the reading!,Image
内燃機関,ないねんきかん,internal combustion engine,Type the reading!,Image
野花,"のばな,やか",paper flowers (esp. as decoration at a funeral),Type the reading!,Image
蒸し器,むしき,steamer; steam cooker,Type the reading!,Image
楽隠居,らくいんきょ,comfortable retirement,Type the reading!,Image
心服,しんぷく,admiration and devotion; hearty submission,Type the reading!,Image
突破口を開く,とっぱこうをひらく,to make a breakthrough; to break ground,Type the reading!,Image
消火栓,しょうかせん,fire hydrant,Type the reading!,Image
湖上,こじょう,on the lake,Type the reading!,Image
丸裸にする,まるはだかにする,to strip a person of all his or her clothes; to leave someone with nothing; to leave someone penniless,Type the reading!,Image
確定申告,かくていしんこく,final income tax return; final declaration; final report,Type the reading!,Image
砂漠化,さばくか,desertification,Type the reading!,Image
名匠,めいしょう,master craftsman; skillful worker,Type the reading!,Image
切札,きりふだ,trump; trump card; ace up one's sleeve,Type the reading!,Image
会陰,えいん,perineum,Type the reading!,Image
汚染物質,おせんぶっしつ,pollutant; contaminant,Type the reading!,Image
熱砂,ねっさ,hot sand,Type the reading!,Image
油脂,ゆし,fats and oils,Type the reading!,Image
名誉職,めいよしょく,honorary position,Type the reading!,Image
意志の疎通,いしのそつう,(reciprocal) communication; (coming to a) mutual understanding,Type the reading!,Image
３塁,さんるい,third base,Type the reading!,Image
退廷,たいてい,leaving a court,Type the reading!,Image
本腰を入れる,ほんごしをいれる,to set about in earnest; to make a strenuous effort; to put one's back into (doing),Type the reading!,Image
酔漢,すいかん,drunkard; drunken fellow,Type the reading!,Image
綺羅星,きらぼし,glittering stars,Type the reading!,Image
互換性,ごかんせい,compatibility,Type the reading!,Image
脳外科医,のうげかい,brain surgeon,Type the reading!,Image
総監督,そうかんとく,"general manager; general superintendent; general director (of a film, etc.)",Type the reading!,Image
下位互換,かいごかん,"upward compatible; forward compatible; compatible with input or components intended for higher tier or later systems,…",Type the reading!,Image
加盟国,かめいこく,member nation; member state; signatory,Type the reading!,Image
丹後,たんご,Tango (former province located in the north of present-day Kyoto Prefecture),Type the reading!,Image
非業,ひごう,unnatural or untimely death (esp. in contrast with the karma of the previous li…,Type the reading!,Image
金歯,きんば,gold tooth,Type the reading!,Image
バブル崩壊,バブルほうかい,collapse of a bubble economy; economic bubble burst,Type the reading!,Image
懐紙,"かいし,ふところがみ",paper folded and tucked inside the front of one's kimono (esp. for use at the t…; paper used for writing tanka,Type the reading!,Image
永らく,ながらく,long; (for a) long time,Type the reading!,Image
簡易版,かんいばん,simplified version; abridged edition,Type the reading!,Image
宿賃,やどちん,hotel charges,Type the reading!,Image
刑事罰,けいじばつ,criminal punishment; criminal penalty,Type the reading!,Image
差し障りのない,さしさわりのない,innocuous; inoffensive,Type the reading!,Image
形見分け,かたみわけ,distribution of mementos,Type the reading!,Image
流れを汲む,ながれをくむ,to be descended from; to be drawn from (the tradition of); to be derived from,Type the reading!,Image
襟ぐり,えりぐり,"neckline (of dress, etc.)",Type the reading!,Image
特記事項,とっきじこう,items warranting special mention,Type the reading!,Image
親し気,したしげ,friendly; close; intimate,Type the reading!,Image
戸部,"こぶ,こほう",Ministry of Revenue (Tang dynasty China),Type the reading!,Image
ボロ儲け,ぼろもうけ,easy money; easy gain; making a killing,Type the reading!,Image
内閣府,ないかくふ,Cabinet Office,Type the reading!,Image
筆頭株主,ひっとうかぶぬし,biggest shareholder; largest stockholder,Type the reading!,Image
雪上,せつじょう,on the snow,Type the reading!,Image
人を呪わば穴二つ,ひとをのろわばあなふたつ,"curses come home to roost; if you curse someone, dig two graves",Type the reading!,Image
典型例,てんけいれい,classic example; classic case; textbook example,Type the reading!,Image
金に汚い,かねにきたない,mean (greedy) about money; stingy,Type the reading!,Image
貧者,ひんじゃ,poor person,Type the reading!,Image
貼り合わせる,はりあわせる,to paste together,Type the reading!,Image
