Question,Answers,Comment,Instructions,Render as
確か,たしか,sure; certain; positive,Type the reading!,Image
起こす,おこす,to raise; to raise up; to set up,Type the reading!,Image
女の子,"おんなのこ,めのこ",girl; daughter; baby girl,Type the reading!,Image
楽しみ,たのしみ,enjoyment; pleasure; amusement,Type the reading!,Image
近い,ちかい,near; close; short (distance),Type the reading!,Image
楽しむ,たのしむ,to enjoy; to take pleasure in; to have a good time,Type the reading!,Image
近づく,ちかづく,to approach; to draw near; to get close,Type the reading!,Image
出会う,であう,"to meet (e.g. of rivers, highways, etc.); to emerge and engage (an enemy)",Type the reading!,Image
起こる,おこる,to occur; to happen,Type the reading!,Image
自由,じゆう,freedom; liberty,Type the reading!,Image
相変わらず,あいかわらず,as usual; as always; as before,Type the reading!,Image
関係ない,かんけいない,unrelated; irrelevant; unconcerned,Type the reading!,Image
着く,"つく,はく",to arrive at; to reach; to sit on,Type the reading!,Image
絶対に,ぜったいに,absolutely; definitely; unconditionally,Type the reading!,Image
動き,うごき,movement; move; motion,Type the reading!,Image
過ごす,すごす,to spend (time); to pass; to lead (a life),Type the reading!,Image
急に,きゅうに,swiftly; rapidly; quickly,Type the reading!,Image
その時,そのとき,at that time; at that moment; then,Type the reading!,Image
受け取る,うけとる,to receive; to get; to accept,Type the reading!,Image
お礼,おれい,thanks; gratitude; manners,Type the reading!,Image
仲,"なか,すあい",relation; relationship,Type the reading!,Image
動かす,うごかす,to move; to shift; to stir,Type the reading!,Image
長,"たけ,たき,ちょう,つかさ,おさ,なが",long,Type the reading!,Image
今後,こんご,from now on; hereafter,Type the reading!,Image
残り,のこり,remainder; remnant; the rest,Type the reading!,Image
受け入れる,うけいれる,to accept; to receive; to agree,Type the reading!,Image
確かめる,たしかめる,to make sure; to check; to ascertain,Type the reading!,Image
その後,"そのあと,そのご,そののち",after that; afterwards; thereafter,Type the reading!,Image
確実,かくじつ,certain; sure; definite,Type the reading!,Image
助け,たすけ,assistance; help; aid,Type the reading!,Image
時に,ときに,by the way; incidentally; sometimes,Type the reading!,Image
乗せる,のせる,to place on (something); to give (someone) a ride; to give a lift,Type the reading!,Image
呼び出す,よびだす,"to call (someone) to (the door, phone, etc.); to tell (someone) to come; to call up (on the phone)",Type the reading!,Image
少しでも,すこしでも,even a little; any at all; if only a little,Type the reading!,Image
この間,"このあいだ,このかん",the other day; lately; recently,Type the reading!,Image
安全,"あんぜん,あんせん",safety; security,Type the reading!,Image
