Question,Answers,Comment,Instructions,Render as
ドヤ顔,ドヤがお,self-satisfied look; triumphant look; smug face,Type the reading!,Image
志す,こころざす,to plan; to intend; to aspire to,Type the reading!,Image
麓,ふもと,foot (of a mountain or hill); bottom; base,Type the reading!,Image
６つ,"むっつ,むつ",six; six years of age; six o'clock (old time system),Type the reading!,Image
統べる,すべる,to rule over; to govern; to command,Type the reading!,Image
爆ぜる,はぜる,to burst open; to pop; to split,Type the reading!,Image
星々,ほしぼし,stars; the stars and planets; celestial bodies,Type the reading!,Image
閣下,かっか,your Excellency; his Excellency; her Excellency,Type the reading!,Image
容態,"ようだい,ようたい",condition; state (of health); appearance,Type the reading!,Image
限,"きり,キリ",delivery date (of a futures contract),Type the reading!,Image
８日,ようか,8th day of the month; eight days,Type the reading!,Image
響,ひびき,"echo; reverberation; sound (esp. the distinctive sound of an object or activity, e.g. rain, gun, gal…",Type the reading!,Image
界隈,かいわい,neighborhood; neighbourhood; vicinity,Type the reading!,Image
雌,"めす,メス,めん,め","female (animal, plant)",Type the reading!,Image
凛々しい,りりしい,gallant; manly; brave,Type the reading!,Image
面倒臭い,"めんどくさい,めんどうくさい,メンドくさい",bothersome; tiresome; bother to do,Type the reading!,Image
殺める,あやめる,to wound; to murder,Type the reading!,Image
跨る,またがる,to straddle; to sit astride; to mount,Type the reading!,Image
贔屓,"ひいき,びいき,ひき,びし",favour; favor; patronage,Type the reading!,Image
お義父さん,おとうさん,father-in-law; foster father; stepfather,Type the reading!,Image
目眩,めまい,dizziness; giddiness; vertigo,Type the reading!,Image
妾,"わらわ,てかけ,めかけ,おんなめ,しょう",I; me,Type the reading!,Image
倒,"さかしま,さかさま,さか",reverse; inversion; upside down,Type the reading!,Image
呪詛,"じゅそ,ずそ",curse; malediction; hex,Type the reading!,Image
見す,"めす,みす",to rule; to govern,Type the reading!,Image
阿呆,"アホ,あほ,あほう,アホウ",fool; idiot; simpleton,Type the reading!,Image
飄々,ひょうひょう,whistling (wind); blowing; howling,Type the reading!,Image
一か八か,"いちかばちか,イチかバチか",sink or swim; all or nothing; hit or miss,Type the reading!,Image
画期的,かっきてき,ground-breaking; revolutionary; unprecedented,Type the reading!,Image
汚,"よごれ,ヨゴレ",oceanic whitetip shark (Carcharhinus longimanus),Type the reading!,Image
秀でる,ひいでる,to excel; to surpass; to be superior,Type the reading!,Image
暦,"こよみ,れき",calendar; almanac,Type the reading!,Image
亡骸,なきがら,remains; corpse; (dead) body,Type the reading!,Image
焚く,"やく,たく",to burn; to roast; to broil,Type the reading!,Image
工,"たくみ,こう",craft; craftsmanship; skill,Type the reading!,Image
賄賂,"わいろ,ワイロ",bribe; sweetener; douceur,Type the reading!,Image
奈,からなし,Chinese quince (Pseudocydonia sinensis),Type the reading!,Image
お義母さん,おかあさん,mother-in-law; foster mother; stepmother,Type the reading!,Image
厳か,おごそか,"solemn (ceremony, atmosphere, etc.); austere; grave",Type the reading!,Image
猛者,"もさ,もうざ",tough guy; wild one; fearless fighter,Type the reading!,Image
