Question,Answers,Comment,Instructions,Render as
幸せ,"しあわせ,しやわせ",happiness; good fortune; luck,Type the reading!,Image
危ない,"あぶない,アブナい,あぶねー,あっぶねー",dangerous; risky; hazardous,Type the reading!,Image
座る,すわる,to sit (down); to have a seat; to be seated,Type the reading!,Image
難しい,"むずかしい,むつかしい,むづかしい",difficult; hard; troublesome,Type the reading!,Image
面白い,おもしろい,interesting; fascinating; intriguing,Type the reading!,Image
認める,"したためる,みとめる",to recognize; to recognise; to observe,Type the reading!,Image
喜ぶ,よろこぶ,to be delighted; to be glad; to be pleased,Type the reading!,Image
結果,けっか,result; consequence; outcome,Type the reading!,Image
答える,こたえる,to answer; to reply,Type the reading!,Image
調べる,しらべる,to examine; to look up; to investigate,Type the reading!,Image
皆さん,みなさん,all; everyone; everybody,Type the reading!,Image
店,"みせ,てん,たな",store; shop; establishment,Type the reading!,Image
特に,とくに,particularly; especially; in particular,Type the reading!,Image
女性,"じょせい,にょしょう",feminine gender,Type the reading!,Image
お母さん,"おかあさん,おかーさん",mother; mom; mum,Type the reading!,Image
完全,かんぜん,perfect; complete,Type the reading!,Image
嫌い,"きらい,ぎらい",disliked; hated; disagreeable,Type the reading!,Image
金,"かね,かな,きん,こがね",money; metal,Type the reading!,Image
最高,"さいこう,サイコー",best; supreme; wonderful,Type the reading!,Image
引く,ひく,to pull; to tug; to lead (e.g. a horse),Type the reading!,Image
何の,"どの,なんの",which; what (way),Type the reading!,Image
若い,わかい,young; youthful; immature,Type the reading!,Image
失う,うしなう,"to lose; to miss (a chance, opportunity); to lose (a loved one)",Type the reading!,Image
電話,でんわ,telephone call; phone call; telephone (device),Type the reading!,Image
突然,とつぜん,abrupt; sudden; unexpected,Type the reading!,Image
正直,しょうじき,honest; frank; candid,Type the reading!,Image
恥ずかしい,はずかしい,embarrassing; embarrassed; ashamed,Type the reading!,Image
進む,"すすむ,すさむ",to advance; to go forward; to precede,Type the reading!,Image
忙しい,"いそがしい,せわしい",busy; occupied; hectic,Type the reading!,Image
お父さん,"おとうさん,おとっさん",father; dad; papa,Type the reading!,Image
届く,とどく,to reach; to touch; to get to,Type the reading!,Image
謝る,あやまる,to apologize (apologise); to refuse; to decline,Type the reading!,Image
学校,がっこう,school,Type the reading!,Image
諦める,あきらめる,"to give up; to abandon (hope, plans); to resign oneself (to)",Type the reading!,Image
当たる,あたる,to be hit; to strike; to touch,Type the reading!,Image
小さい,ちいさい,small; little; tiny,Type the reading!,Image
休む,やすむ,to be absent; to take a day off; to rest,Type the reading!,Image
回る,"めぐる,まわる,もとおる,みる",to turn; to rotate; to revolve,Type the reading!,Image
急ぐ,いそぐ,to hurry; to rush; to hasten,Type the reading!,Image
腕,"うで,かいな",arm; ability; skill,Type the reading!,Image
冗談,じょうだん,joke; jest; funny story,Type the reading!,Image
残念,ざんねん,regrettable; unfortunate; disappointing,Type the reading!,Image
方法,ほうほう,method; way; manner,Type the reading!,Image
情報,じょうほう,information; news; report,Type the reading!,Image
着る,きる,"to wear (from the shoulders down); to put on; to take (the blame, responsibility)",Type the reading!,Image
無事,ぶじ,safety; security; peace,Type the reading!,Image
親,"おや,しん",parent; parents; mother and father,Type the reading!,Image
１人,"ひとり,いちにん",being alone; being by oneself; being single,Type the reading!,Image
現れる,あらわれる,to appear; to come in sight; to become visible,Type the reading!,Image
可能性,かのうせい,possibility; chance; likelihood,Type the reading!,Image
状態,じょうたい,state; condition; situation,Type the reading!,Image
特別,とくべつ,special; particular; extraordinary,Type the reading!,Image
甘い,"あまい,うまい",sweet-tasting; sweet; sugary,Type the reading!,Image
生活,せいかつ,life; living; livelihood,Type the reading!,Image
敵,"かたき,てき",opponent; rival; adversary,Type the reading!,Image
感謝,かんしゃ,thanks; gratitude; appreciation,Type the reading!,Image
期待,きたい,expectation; anticipation; hope,Type the reading!,Image
お疲れ,おつかれ,"thanks (for coming, helping, etc.); glad you could make it; tiredness",Type the reading!,Image
的,"てき,まと",-ical; -ive; -al,Type the reading!,Image
覚悟,かくご,readiness; (mental) preparedness; resolution,Type the reading!,Image
愛する,あいする,to love,Type the reading!,Image
お金,おかね,money,Type the reading!,Image
住む,すむ,to live (of humans); to reside; to inhabit,Type the reading!,Image
眠る,"ねむる,ねぶる",to lie idle (e.g. of resources); to lie unused; to lie untapped,Type the reading!,Image
与える,あたえる,to give (esp. to someone of lower status); to bestow; to grant,Type the reading!,Image
足りる,たりる,to be sufficient; to be enough; to be worth doing,Type the reading!,Image
求める,もとめる,to want; to wish for; to request,Type the reading!,Image
不思議,ふしぎ,wonderful; marvelous; strange,Type the reading!,Image
頃,"ころ,ごろ,けい,ころおい",(approximate) time; around; about,Type the reading!,Image
相談,そうだん,consultation; discussion; discussing,Type the reading!,Image
途中,とちゅう,on the way; en route; in the middle of,Type the reading!,Image
集まる,あつまる,to gather; to collect; to assemble,Type the reading!,Image
