Question,Answers,Comment,Instructions,Render as
小孔,しょうこう,stoma; ostiole,Type the reading!,Image
青貝,あおがい,limpet,Type the reading!,Image
車海老,"くるまえび,クルマエビ",kuruma prawn (Marsupenaeus japonicus); kuruma shrimp; Japanese tiger prawn,Type the reading!,Image
虎のこ,とらのこ,tiger cub; one's treasure; precious savings,Type the reading!,Image
韻文,いんぶん,verse; poetry,Type the reading!,Image
厄難,やくなん,calamity; evil; misfortune,Type the reading!,Image
弧状,こじょう,arc shape; crescent shape,Type the reading!,Image
反り身,そりみ,strutting; sticking out the chest,Type the reading!,Image
国津神,くにつかみ,gods of the land; earthly deities,Type the reading!,Image
乳毛,ちちげ,nipple hair; breast hair,Type the reading!,Image
押付ける,おしつける,to press against; to push against; to force against,Type the reading!,Image
官兵,かんぺい,government soldier; officers and other ranks; officers and enlisted,Type the reading!,Image
図書係,としょがかり,librarian; person in charge of a library,Type the reading!,Image
紅涙,こうるい,feminine tears; bitter tears; tears of blood,Type the reading!,Image
好いこと,よいこと,good thing; nice thing; good excuse,Type the reading!,Image
気韻,きいん,dignity; refinement,Type the reading!,Image
帯革,おびかわ,leather belt; (machine) belt,Type the reading!,Image
平滑,へいかつ,flat and smooth,Type the reading!,Image
御機嫌斜め,ごきげんななめ,in a bad temper; cranky; crabby,Type the reading!,Image
蔵相,ぞうしょう,Minister of Finance,Type the reading!,Image
暑中休暇,しょちゅうきゅうか,summer vacation,Type the reading!,Image
突っ放す,つっぱなす,to thrust or cast away; to look upon with detachment,Type the reading!,Image
仲裁者,ちゅうさいしゃ,arbitrator; mediator,Type the reading!,Image
薬籠,やくろう,medicine chest (container),Type the reading!,Image
管轄権,かんかつけん,(have) jurisdiction over,Type the reading!,Image
御眼鏡,おめがね,(your) judgment; discernment,Type the reading!,Image
女房孝行,にょうぼうこうこう,being devoted to one's wife; uxorious,Type the reading!,Image
謙譲の美徳,けんじょうのびとく,modest virtue,Type the reading!,Image
蛇の道はヘビ,"じゃのみちはへび,へびのみちはへび",the wolf knows what the ill beast thinks; it takes one to know one; it takes a thief to catch a thief,Type the reading!,Image
新年の抱負,しんねんのほうふ,New Year's resolution,Type the reading!,Image
冷媒,れいばい,refrigerant; coolant,Type the reading!,Image
巻藁,まきわら,"straw post for training sword strikes, karate punches and arrow hits",Type the reading!,Image
置所,おきどころ,place to put something; place where one put something; place to put oneself,Type the reading!,Image
江戸詰,えどづめ,"temporary stay of a daimyo with his retainers and vassals in the Edo domain, un…",Type the reading!,Image
借地権,しゃくちけん,lease; leasehold; land-lease rights,Type the reading!,Image
此の方,"このかた,このほう",since; for the past ... (e.g. ten years); this person,Type the reading!,Image
登山隊,とざんたい,climbing expedition; mountaineering party,Type the reading!,Image
筆耕,ひっこう,making a living copying or writing,Type the reading!,Image
原発巣,げんぱつそう,primary lesion,Type the reading!,Image
右翼団体,うよくだんたい,right-wing organization; right-wing group,Type the reading!,Image
施薬,せやく,(dispensation of) free medicine,Type the reading!,Image
人工池,じんこういけ,artificial pool,Type the reading!,Image
書類鞄,しょるいかばん,briefcase; attaché case,Type the reading!,Image
預託,よたく,"depositing (of money, valuables, etc.); deposition",Type the reading!,Image
当該人物,とうがいじんぶつ,the appropriate person; competent person,Type the reading!,Image
旧藩主,きゅうはんしゅ,former feudal lord,Type the reading!,Image
修斗,しゅうと,shooto; martial arts competition leading to knockouts or submission,Type the reading!,Image
六尺,ろくしゃく,six feet; traditional Japanese G-string for men,Type the reading!,Image
頬摺り,ほおずり,rubbing cheeks together (as a display of affection); pressing cheeks together,Type the reading!,Image
畳替え,たたみがえ,renewing mats; refacing mats,Type the reading!,Image
月琴,げっきん,yueqin (4-stringed Chinese lute),Type the reading!,Image
衣嚢,"いのう,かくし",pocket,Type the reading!,Image
面変わり,おもがわり,change in one's looks; change in one's appearance,Type the reading!,Image
