Question,Answers,Comment,Instructions,Render as
轡虫,"クツワムシ,くつわむし",Mecopoda nipponensis (species of katydid),Type the reading!,Image
サバ節,サバぶし,"dried, smoked mackerel; shavings from dried, smoked mackerel",Type the reading!,Image
旱り,ひでり,dry weather; drought,Type the reading!,Image
占城,"チャンパ,せんじょう",Champa (former kingdom(s) in central Vietnam),Type the reading!,Image
涓滴岩を穿つ,けんてきいわをうがつ,slow but steady wins the race; constant effort will result in success; constant dripping wears away a stone,Type the reading!,Image
匏,"ふくべ,ひさご,ひさこ",Lagenaria siceraria var. depressa (variety of bottle gourd),Type the reading!,Image
具さに,つぶさに,in detail; with great care; completely,Type the reading!,Image
壺に入る,つぼにはいる,to be mad about; to be hooked on,Type the reading!,Image
天魚,"あまご,アマゴ",land-locked variety of red-spotted masu trout (Oncorhynchus masou ishikawae); amago,Type the reading!,Image
わん公,わんこう,dog,Type the reading!,Image
お見外れ,おみそれ,failing to recognize someone; underestimation (of someone's ability); not realizing someone's skill,Type the reading!,Image
御虎子,おまる,bedpan; chamber pot; potty,Type the reading!,Image
柘,"はりぐわ,ハリグワ,つみ",storehousebush (Cudrania tricuspidata); mandarin melon berry; silkworm thorn,Type the reading!,Image
赤瓜,"あかもううい,あかもううり,あかうり,もううい",Okinawan yellow cucumber,Type the reading!,Image
鑪,"たたら,タタラ",foot-operated bellows; foot bellows; traditional Japanese clay furnace for smelting iron (operated with large foot b…,Type the reading!,Image
羃,べき,exponent; power,Type the reading!,Image
牴触,ていしょく,"infringement (of a law, treaty, etc.); contravention; running afoul",Type the reading!,Image
假名,かな,kana; Japanese syllabaries (i.e. hiragana and katakana),Type the reading!,Image
建坪率,けんぺいりつ,building-to-land ratio; building coverage ratio; land coverage,Type the reading!,Image
好プレイ,こうプレイ,good play,Type the reading!,Image
放らす,はふらす,to leave alone; to leave as is; to ignore,Type the reading!,Image
貰いゲロ,"もらいゲロ,もらいげろ",sympathy vomiting; vomiting due to the sight or the smell of another person's vomit,Type the reading!,Image
終わコン,"オワコン,おわコン",thing that is past its prime; thing that is no longer popular or relevant; thing that has become obsolete,Type the reading!,Image
小競合い,こぜりあい,skirmish; brush (with the enemy); minor battle,Type the reading!,Image
毛ばたき,けばたき,feather duster,Type the reading!,Image
糸蚯蚓,"イトミミズ,いとみみず",tubifex worm,Type the reading!,Image
あひる口,"あひるぐち,あひるくち,アヒルグチ,アヒルクチ",duck face; duck lips; facial expression where the lips are pursed and corners of the mouth raised,Type the reading!,Image
直身,"そうじみ,ただみ,むざね",the real person; said person,Type the reading!,Image
くそ上司,くそじょうし,asshole boss; arsehole boss,Type the reading!,Image
頬っ被り,"ほっかむり,ほっかぶり","covering one's head with a handkerchief, scarf, etc.; tying a cloth around one's head; feigning ignorance",Type the reading!,Image
