Question,Answers,Comment,Instructions,Render as
教える,おしえる,to teach; to instruct; to tell,Type the reading!,Image
心配,しんぱい,worry; concern; anxiety,Type the reading!,Image
必要,ひつよう,necessary; needed; essential,Type the reading!,Image
場所,ばしょ,place; location; spot,Type the reading!,Image
強い,"つよい,こわい",strong; potent; competent,Type the reading!,Image
逃げる,にげる,to run away; to flee; to get away (e.g. from danger),Type the reading!,Image
家,"いえ,うち,け,や,か,んち,ち",house; residence; dwelling,Type the reading!,Image
体,"からだ,たい,てい",body; torso; trunk,Type the reading!,Image
言葉,"ことば,けとば",language; dialect; word,Type the reading!,Image
続ける,つづける,to continue; to keep up; to keep on,Type the reading!,Image
力,"ちから,りき,りょく",force; strength; might,Type the reading!,Image
無理,"むり,ムリ",unreasonable; unnatural; unjustifiable,Type the reading!,Image
名前,なまえ,name; given name; first name,Type the reading!,Image
初めて,はじめて,for the first time; only after ... is it ...; only when ... do you ...,Type the reading!,Image
大変,たいへん,very; greatly; terribly,Type the reading!,Image
動く,うごく,to move; to stir; to shift,Type the reading!,Image
彼女,かのじょ,she; her; girlfriend,Type the reading!,Image
確かに,たしかに,surely; certainly,Type the reading!,Image
意味,いみ,meaning; significance; sense,Type the reading!,Image
お願い,おねがい,request; favour (to ask); wish,Type the reading!,Image
始める,はじめる,to start; to begin; to commence,Type the reading!,Image
怖い,こわい,scary; frightening; eerie,Type the reading!,Image
心,"こころ,しん",mind; heart; spirit,Type the reading!,Image
世界,せかい,the world; society; the universe,Type the reading!,Image
部屋,へや,room; chamber; apartment,Type the reading!,Image
覚える,おぼえる,to learn; to pick up; to acquire,Type the reading!,Image
口,"くち,く,こう",mouth; opening; hole,Type the reading!,Image
決める,"きめる,キメる",to decide; to choose; to determine,Type the reading!,Image
買う,かう,to buy; to purchase; to value (highly),Type the reading!,Image
信じる,しんじる,to believe; to believe in; to place trust in,Type the reading!,Image
昔,"むかし,むかーし",the old days; the past; former times,Type the reading!,Image
助ける,たすける,to save; to rescue; to spare,Type the reading!,Image
守る,まもる,to protect; to guard; to defend,Type the reading!,Image
許す,ゆるす,to permit; to allow; to approve,Type the reading!,Image
最初,さいしょ,beginning; outset; first,Type the reading!,Image
変わる,かわる,to change; to be transformed; to be altered,Type the reading!,Image
飲む,のむ,to drink; to swallow; to take (medicine),Type the reading!,Image
受ける,"うける,ウケる",to receive; to get; to catch (e.g. a ball),Type the reading!,Image
先生,"せんせい,シーサン,せんじょう,せんしょう,ぜんじょう",teacher; instructor; master,Type the reading!,Image
置く,おく,to put; to place; to leave (behind),Type the reading!,Image
大事,"だいじ,おおごと",important; serious; crucial,Type the reading!,Image
笑う,わらう,to laugh; to smile; to sneer,Type the reading!,Image
夢,ゆめ,dream,Type the reading!,Image
楽しい,たのしい,enjoyable; fun; pleasant,Type the reading!,Image
彼,"あれ,アレ,かれ,かの",he; him; boyfriend,Type the reading!,Image
書く,かく,to write; to compose; to pen,Type the reading!,Image
乗る,"のる,ノる","to get on (train, plane, bus, ship, etc.); to get in; to board",Type the reading!,Image
間,"あいだ,あわい,ま,はざま,はさま,かん,けん",due to; because of,Type the reading!,Image
感じる,かんじる,to feel; to sense; to experience,Type the reading!,Image
以上,いじょう,not less than ...; ... and over; ... and above,Type the reading!,Image
先,"さっき,さき,せん",point; tip; end,Type the reading!,Image
起きる,おきる,to get up; to rise; to blaze up (fire),Type the reading!,Image
実は,じつは,as a matter of fact; by the way; to tell you the truth,Type the reading!,Image
全然,"ぜんぜん,ぜんっぜん",(not) at all; (not) in the slightest; wholly,Type the reading!,Image
変,へん,strange; odd; peculiar,Type the reading!,Image
音,"おと,おん,ね",sound; noise; (musical) note,Type the reading!,Image
寝る,ねる,to sleep (lying down); to go to bed; to lie in bed,Type the reading!,Image
関係,かんけい,relation; relationship; connection,Type the reading!,Image
問題,もんだい,"question (e.g. on a test); problem; problem (e.g. societal, political)",Type the reading!,Image
姿,すがた,figure; form; shape,Type the reading!,Image
連れる,つれる,to take (someone) with one; to bring along; to go with,Type the reading!,Image
