Question,Answers,Comment,Instructions,Render as
池様,いけさま,good-looking guy; handsome man,Type the reading!,Image
ホッキ貝,ホッキかい,Sakhalin surf clam (Pseudocardium sachalinense),Type the reading!,Image
濫発,らんぱつ,random firing; reckless firing; excessive issue,Type the reading!,Image
牧羊,ぼくよう,sheep farming,Type the reading!,Image
掛小屋,かけごや,temporary theater; temporary theatre; lean-to,Type the reading!,Image
自鳴琴,じめいきん,musical box; music box,Type the reading!,Image
遜色無い,そんしょくない,standing comparison with; comparing favorably with; by no means inferior to,Type the reading!,Image
縁起かつぎ,えんぎかつぎ,being superstitious; superstitious person,Type the reading!,Image
備忘,びぼう,reminder,Type the reading!,Image
赤魚,"あかうお,アカウオ,あこう,アコウ",Pacific ocean perch (Sebastes alutus); comb goby (Ctenotrypauchen microcephalus); Matsubara's red rockfish (Sebastes matsubarae),Type the reading!,Image
消石灰,しょうせっかい,slaked lime,Type the reading!,Image
伝票番号,でんぴょうばんごう,order number; ticket number; tracking number,Type the reading!,Image
千切れ雲,ちぎれぐも,scattered clouds,Type the reading!,Image
箸渡し,はしわたし,passing a bone fragment from one pair of chopsticks to another while placing th…; two people picking up the same bone fragment with chopsticks at the same time; passing food from one pair of chopsticks to another (a bre…,Type the reading!,Image
目が肥える,めがこえる,"to have a good eye (from having seen fine art, etc.); to be a connoisseur",Type the reading!,Image
愚蒙,ぐもう,stupid; foolish,Type the reading!,Image
後ればせながら,おくればせながら,belatedly; though a little too late,Type the reading!,Image
アルコール発酵,アルコールはっこう,alcohol fermentation,Type the reading!,Image
もみじ狩り,もみじがり,autumn-leaf viewing; fall-leaf viewing,Type the reading!,Image
卸売市場,おろしうりしじょう,wholesale market,Type the reading!,Image
空っ穴,"からっけつ,カラッケツ",flat broke; stone broke; penniless,Type the reading!,Image
水生昆虫,すいせいこんちゅう,aquatic insect,Type the reading!,Image
間着,あいぎ,between-season wear; spring and autumn clothing,Type the reading!,Image
侮蔑語,ぶべつご,pejorative term; derogatory term; disparaging term,Type the reading!,Image
慶弔,けいちょう,congratulations and condolences,Type the reading!,Image
恩寵を受ける,おんちょうをうける,to enjoy (a person's) favor (favour),Type the reading!,Image
当たり前田のクラッカー,あたりまえだのクラッカー,of course!,Type the reading!,Image
心を煩わす,こころをわずらわす,to worry oneself over,Type the reading!,Image
近所合壁,きんじょがっぺき,immediate neighborhood; immediate neighbourhood,Type the reading!,Image
迂路,うろ,detour; diversion,Type the reading!,Image
仕出屋,しだしや,caterer,Type the reading!,Image
天秤ばかり,てんびんばかり,balance scale; balance,Type the reading!,Image
蘭州,らんしゅう,Lanzhou (China),Type the reading!,Image
乳癌,にゅうがん,breast cancer,Type the reading!,Image
解熱薬,げねつやく,antipyretic; antifebrile,Type the reading!,Image
穴釣り,あなづり,fishing by dropping a line between rocks or concrete tetrapods; ice fishing (esp. for smelt); sniggling (fishing for eels by thrusting a baited hook into their dens),Type the reading!,Image
漬けダレ,つけだれ,dipping sauce,Type the reading!,Image
万夫,ばんぷ,many people,Type the reading!,Image
衝撃と畏怖,しょうげきといふ,shock and awe,Type the reading!,Image
蜂鳥,"はちどり,ハチドリ",hummingbird (Trochilidae family),Type the reading!,Image
惰気,だき,indolence; listlessness,Type the reading!,Image
我勝ちに,われがちに,scrambling; falling over each other; striving to be first,Type the reading!,Image
甚句,じんく,jinku; lively Japanese folk song or dance tune,Type the reading!,Image
針供養,はりくよう,memorial service for old needles,Type the reading!,Image
