Question,Answers,Comment,Instructions,Render as
言う,"いう,ゆう","to go (e.g. ""the alarm went ping""); to make a noise",Type the reading!,Image
思う,おもう,to think; to consider; to believe,Type the reading!,Image
私,"わたし,ワタシ,あたし,あたくし,アタシ,わらわ,わし,ワシ,あっし,わっし,わい,ワイ,わたい,し,わたくし,わっち,わて,あたい,あて,わちき",I; me,Type the reading!,Image
見る,みる,to see; to look; to watch,Type the reading!,Image
何,"なに,ナニ,なん",what; you-know-what; that thing,Type the reading!,Image
行く,"いく,ゆく,イク",to go; to move (towards); to head (towards),Type the reading!,Image
来る,"くる,クる,きたる",to come (spatially or temporally); to approach; to arrive,Type the reading!,Image
俺,"おれ,オレ,おらあ,おり,おら,うら",I; me,Type the reading!,Image
今,"いま,こん",now; the present time; just now,Type the reading!,Image
聞く,きく,to hear; to listen (e.g. to music); to ask,Type the reading!,Image
知る,しる,to know; to be aware (of); to be conscious (of),Type the reading!,Image
出る,でる,to leave; to exit; to go out,Type the reading!,Image
人,"じん,と,ひと,ヒト,にん",person; someone; somebody,Type the reading!,Image
待つ,まつ,to wait; to await; to look forward to,Type the reading!,Image
自分,じぶん,myself; yourself; oneself,Type the reading!,Image
