Question,Answers,Comment,Instructions,Render as
書,"ふみ,しょ",letter; note; mail,Type the reading!,Image
掲げる,かかげる,"to put up (a notice, sign, etc.); to hang out (e.g. a banner); to fly (e.g. a flag)",Type the reading!,Image
眼鏡,"メガネ,めがね,がんきょう",glasses; eyeglasses; spectacles,Type the reading!,Image
具,"ぐ,つま",garnish (esp. one served with sashimi); trimmings; accompaniment,Type the reading!,Image
若干,"じゃっかん,そこばく,そくばく,そこば",some; few; a number of,Type the reading!,Image
醜い,みにくい,ugly; unattractive; bad-looking,Type the reading!,Image
錯覚,さっかく,illusion; hallucination; misapprehension,Type the reading!,Image
遮る,さえぎる,"to interrupt; to obstruct (a view, someone's way, etc.); to block (light, wind, etc.)",Type the reading!,Image
頂戴,"ちょうだい,ちょーだい",receiving; getting; accepting,Type the reading!,Image
辛抱,しんぼう,patience; endurance; perseverance,Type the reading!,Image
等しい,ひとしい,equal; identical; the same,Type the reading!,Image
館,"やかた,かん,むろつみ,たち,たて",mansion; palace; manor house,Type the reading!,Image
別々,べつべつ,separate; respective; different,Type the reading!,Image
測る,はかる,to measure; to weigh; to survey,Type the reading!,Image
躊躇,ちゅうちょ,hesitation; indecision; vacillation,Type the reading!,Image
安堵,あんど,"relief; reassurance; recognition of right to land ownership (by the shogunate, a feudal lord, etc.)",Type the reading!,Image
笑,"わらい,わら",LOL; haha,Type the reading!,Image
退く,"どく,のく,しりぞく,しぞく,ひく",to step back; to move back; to retreat,Type the reading!,Image
変わってる,かわってる,to be unusual (of a person or thing); to be uncommon; to be peculiar,Type the reading!,Image
鮮やか,あざやか,vivid; bright; brilliant,Type the reading!,Image
用いる,もちいる,to use; to make use of; to utilize,Type the reading!,Image
率いる,ひきいる,to lead; to spearhead (a group); to command (troops),Type the reading!,Image
仕える,つかえる,to serve; to work for; to attend,Type the reading!,Image
頻繁,ひんぱん,frequent; incessant,Type the reading!,Image
霊,"れい,たましい,たま,すだま,み,りょう,ろう",soul; spirit; mind,Type the reading!,Image
４月,しがつ,April; fourth month in the lunar calendar,Type the reading!,Image
惨め,みじめ,miserable; wretched; unhappy,Type the reading!,Image
台詞,"せりふ,だいし,セリフ","(spoken) line (in a play, film, comic, etc.); one's lines; comment",Type the reading!,Image
委ねる,ゆだねる,to entrust (a matter) to; to leave to; to abandon oneself to (e.g. pleasure),Type the reading!,Image
丘,"おか,つかさ",hill; height; knoll,Type the reading!,Image
爽やか,さわやか,fresh; refreshing; invigorating,Type the reading!,Image
守り,"もり,まもり",babysitting; babysitter; protecting,Type the reading!,Image
蘇る,よみがえる,to be resurrected; to be resuscitated; to be rehabilitated,Type the reading!,Image
拝む,おがむ,to assume the posture of praying; to press the palms and fingers of both hands together; to do reverence (e.g. before a statue of the Buddha),Type the reading!,Image
眩しい,"まぶしい,まぼしい",dazzling; radiant,Type the reading!,Image
欲する,ほっする,to want; to desire,Type the reading!,Image
輩,"ともがら,ばら,やから,はい",party (of people); set (of people); clan,Type the reading!,Image
却下,きゃっか,rejection; dismissal,Type the reading!,Image
要,"かなめ,よう",pivot; vital point; cornerstone,Type the reading!,Image
募る,つのる,to become stronger; to grow in intensity; to grow violent,Type the reading!,Image
拷問,ごうもん,torture,Type the reading!,Image
誰が,たが,"whose; who (is, does, etc.)",Type the reading!,Image
方角,ほうがく,direction; way; point of the compass,Type the reading!,Image
明後日,"あさって,みょうごにち",wrong (e.g. direction),Type the reading!,Image
堪能,"たんのう,かんのう",proficient; skilled; skillful,Type the reading!,Image
抗う,あらがう,to go against; to fight against; to oppose,Type the reading!,Image
傍,"そば,かたがた,かたわら,はた",(place) near by; (place) close by; (place) right next to,Type the reading!,Image
志,"こころざし,シリング,シルリング",will; resolution; intention,Type the reading!,Image
阻む,はばむ,to keep someone from doing; to stop; to prevent,Type the reading!,Image
淡々,"たんたん,あわあわ,アワアワ",uninterested; unconcerned; indifferent,Type the reading!,Image
臨む,のぞむ,to look out on; to overlook; to front onto,Type the reading!,Image
