Question,Answers,Comment,Instructions,Render as
その気,"そのけ,そのケ,そのき",homosexuality; interest in the same sex,Type the reading!,Image
人類,じんるい,mankind; humanity,Type the reading!,Image
番号,ばんごう,number; series of digits,Type the reading!,Image
足りない,たりない,insufficient; not enough; lacking,Type the reading!,Image
見失う,みうしなう,to lose sight of; to miss,Type the reading!,Image
互い,たがい,each other; one another,Type the reading!,Image
遠慮なく,えんりょなく,without reservation; freely; frankly,Type the reading!,Image
決断,けつだん,decision; determination,Type the reading!,Image
丸い,"まるい,まろい",round; circular; spherical,Type the reading!,Image
左手,"ひだりて,ゆんで",left hand; left-hand side; left-hand direction,Type the reading!,Image
試験,しけん,examination; exam; test,Type the reading!,Image
待機,たいき,standing by; awaiting an opportunity; being on alert,Type the reading!,Image
年上,としうえ,older; senior,Type the reading!,Image
別れ,わかれ,parting; separation; farewell,Type the reading!,Image
放置,ほうち,leaving as is; leaving alone; leaving to chance,Type the reading!,Image
入院,にゅういん,hospitalization; hospitalisation,Type the reading!,Image
苦しみ,くるしみ,pain; anguish; distress,Type the reading!,Image
我ら,われら,we; us; I,Type the reading!,Image
引っ越す,ひっこす,to move (house); to change residence,Type the reading!,Image
潰れる,つぶれる,to be crushed; to be squashed; to be smashed,Type the reading!,Image
順番,じゅんばん,order; turn,Type the reading!,Image
調整,ちょうせい,adjustment; regulation; coordination,Type the reading!,Image
子供の頃,こどものころ,(time of) one's childhood; when one was a child,Type the reading!,Image
娘さん,むすめさん,daughter,Type the reading!,Image
お父,おとう,daddy; father; husband,Type the reading!,Image
解散,かいさん,"breaking up (a meeting, gathering, etc.); dispersal (e.g. of a crowd); dissolution (of a company, organization, etc.)",Type the reading!,Image
不自然,ふしぜん,unnatural; artificial; affected,Type the reading!,Image
謝罪,しゃざい,apology,Type the reading!,Image
その代わり,そのかわり,instead; but (on the other hand),Type the reading!,Image
ある程度,あるていど,to some extent; to a certain extent,Type the reading!,Image
友,"とも,ゆう",friend; companion; comrade,Type the reading!,Image
重,"おも,え,じゅう",chief; main; principal,Type the reading!,Image
浮かべる,うかべる,to float; to set afloat; to launch,Type the reading!,Image
興味ない,きょうみない,uninterested (in); having no interest (in),Type the reading!,Image
最終的,さいしゅうてき,final; eventual; ultimate,Type the reading!,Image
夕食,"ゆうしょく,ゆうげ",evening meal; dinner,Type the reading!,Image
天使,てんし,angel,Type the reading!,Image
鳴き声,なきごえ,cry (of an animal); call; chirp,Type the reading!,Image
毎回,まいかい,every time; each round,Type the reading!,Image
苦しめる,くるしめる,to torment; to pain; to inflict (physical) pain,Type the reading!,Image
真っ白,まっしろ,"pure white; blank (e.g. mind, paper)",Type the reading!,Image
対処,たいしょ,dealing with; coping with,Type the reading!,Image
参考,さんこう,reference; consultation,Type the reading!,Image
奇妙,きみょう,strange; odd; peculiar,Type the reading!,Image
緊急,きんきゅう,urgency; emergency,Type the reading!,Image
弱る,よわる,to weaken; to grow weak; to wane,Type the reading!,Image
踏み込む,ふみこむ,to step into (e.g. someone else's territory); to break into; to raid,Type the reading!,Image
親切,しんせつ,kind; gentle; considerate,Type the reading!,Image
下す,"くだす,おろす",to make a decision; to draw a conclusion; to give a judgement,Type the reading!,Image
騒がしい,さわがしい,"noisy; boisterous; turbulent (era, etc.)",Type the reading!,Image
基本的に,きほんてきに,basically; fundamentally,Type the reading!,Image
気楽,きらく,carefree; comfortable; at ease,Type the reading!,Image
ご苦労,ごくろう,trouble (I have put you through); (your) hard work; thank you (for your hard work),Type the reading!,Image
例,"れい,ためし",example; instance; illustration,Type the reading!,Image
折る,おる,to break; to fracture; to break off,Type the reading!,Image
割,わり,rate; ratio; proportion,Type the reading!,Image
屋根,やね,roof,Type the reading!,Image
また明日,またあした,see you tomorrow,Type the reading!,Image
大騒ぎ,おおさわぎ,clamour; clamor; uproar,Type the reading!,Image
対抗,たいこう,opposition; rivalry; competition,Type the reading!,Image
見届ける,みとどける,to make sure of; to ascertain; to see with one's own eyes,Type the reading!,Image
弁当,べんとう,bento; Japanese box lunch,Type the reading!,Image
日本人,"にほんじん,にっぽんじん",Japanese person,Type the reading!,Image
一刻も早く,いっこくもはやく,immediately; as soon as possible; as quickly as possible,Type the reading!,Image
使命,しめい,mission; errand; task,Type the reading!,Image
友情,ゆうじょう,friendship; fellowship; camaraderie,Type the reading!,Image
指先,ゆびさき,fingertip; finger; toe tip,Type the reading!,Image
小さい頃,ちいさいころ,as a child; when one was a child,Type the reading!,Image
加減,かげん,degree; extent; amount,Type the reading!,Image
ご両親,ごりょうしん,(someone else's) parents; both parents,Type the reading!,Image
発展,はってん,development; growth; expansion,Type the reading!,Image
選手,せんしゅ,player (of a sport); athlete; team member,Type the reading!,Image
提出,ていしゅつ,"presentation (of documents); submission (of an application, report, etc.); production (e.g. of evidence)",Type the reading!,Image
果てる,はてる,to end; to be finished; to be exhausted,Type the reading!,Image
大切な人,たいせつなひと,special someone; special person; precious one,Type the reading!,Image
生じる,しょうじる,to produce; to yield; to cause,Type the reading!,Image
突入,とつにゅう,rushing into; breaking into; storming,Type the reading!,Image
表示,ひょうじ,indication; expression; showing,Type the reading!,Image
切ない,せつない,painful; heartrending; trying,Type the reading!,Image
重さ,おもさ,weight,Type the reading!,Image
週,しゅう,week,Type the reading!,Image
策,"さく,むち,ムチ",plan; policy; means,Type the reading!,Image
冗談じゃない,じょうだんじゃない,it's no joke; gimme a break!,Type the reading!,Image
類,"るい,たぐい",kind; sort; type,Type the reading!,Image
眠り,"ねむり,ねぶり",sleep; sleeping; inactivity,Type the reading!,Image
離婚,りこん,divorce,Type the reading!,Image
罪悪感,ざいあくかん,feelings of guilt,Type the reading!,Image
学園,がくえん,educational institution; school; academy,Type the reading!,Image
お父様,おとうさま,father,Type the reading!,Image
配置,はいち,arrangement (of resources); deployment; stationing,Type the reading!,Image
泣き声,なきごえ,cry (e.g. of a baby); sob; whine,Type the reading!,Image
お互いに,おたがいに,mutually; with each other; reciprocally,Type the reading!,Image
優勝,ゆうしょう,overall victory; championship; winning the title,Type the reading!,Image
構いません,かまいません,no problem; it doesn't matter,Type the reading!,Image
前提,ぜんてい,condition; assumption; prerequisite,Type the reading!,Image
ご苦労さま,ごくろうさま,thank you (for your hard work); I appreciate your efforts,Type the reading!,Image
互いに,たがいに,mutually; with each other; reciprocally,Type the reading!,Image
例外,れいがい,exception,Type the reading!,Image
秘める,ひめる,to hide; to keep to oneself,Type the reading!,Image
踏み出す,ふみだす,to step forward; to step forth; to advance,Type the reading!,Image
休日,きゅうじつ,holiday; day off,Type the reading!,Image
立ち去る,たちさる,to leave; to depart; to take one's leave,Type the reading!,Image
時刻,じこく,time; (the) hour; favourable time,Type the reading!,Image
有効,ゆうこう,valid; effective; yuko (judo),Type the reading!,Image
働き,はたらき,work; labor; labour,Type the reading!,Image
現象,げんしょう,phenomenon,Type the reading!,Image
判明,はんめい,establishing; proving; ascertaining,Type the reading!,Image
お昼,おひる,lunch; noon; midday,Type the reading!,Image
お任せ,おまかせ,"leaving (a decision, job, etc.) to someone else; entrusting; leaving the choice of a meal to the chef",Type the reading!,Image
一種,いっしゅ,a kind; a sort; a variety,Type the reading!,Image
