Question,Answers,Comment,Instructions,Render as
何も,"なにも,なんも",(not) anything; (nothing) at all; (not) any,Type the reading!,Image
見つける,みつける,to find; to discover; to come across,Type the reading!,Image
誰も,だれも,everyone; anyone; no one,Type the reading!,Image
分,"ふん,ぶ,ぶん",part; portion; share,Type the reading!,Image
自分で,じぶんで,by myself; in person; by oneself,Type the reading!,Image
今まで,いままで,until now; till now; up to now,Type the reading!,Image
聞こえる,きこえる,to be heard; to be audible; to reach one's ears,Type the reading!,Image
私たち,"わたしたち,わたくしたち",we; us,Type the reading!,Image
思い出す,おもいだす,to recall; to remember; to recollect,Type the reading!,Image
一度,"いちど,ひとたび",one degree; one tone; one musical interval,Type the reading!,Image
一緒,いっしょ,(doing) together; one lump; one mixture,Type the reading!,Image
見つかる,みつかる,to be found; to be discovered,Type the reading!,Image
俺たち,おれたち,we; us,Type the reading!,Image
あの人,あのひと,he; she; that person,Type the reading!,Image
思い,おもい,thought; imagination; mind,Type the reading!,Image
本気,ほんき,seriousness; earnestness; truth,Type the reading!,Image
